FLEAS,LOGFLEAS,CARPET,NCATS,HAIRL,TRTMT
39.0,3.6654,2.0,2.0,7.0,1.0
70.0,4.248,1.0,2.0,5.9,2.0
129.0,4.8622,1.0,3.0,5.1,2.0
24.0,3.1849,1.0,1.0,7.3,2.0
72.0,4.2778,1.0,1.0,6.8,2.0
52.0,3.9548,1.0,1.0,6.5,2.0
45.0,3.8157,1.0,1.0,4.1,2.0
55.0,4.0026,1.0,2.0,6.1,2.0
39.0,3.6759,1.0,1.0,5.5,2.0
8.0,2.0213,1.0,1.0,6.6,2.0
13.0,2.5442,1.0,2.0,6.8,2.0
104.0,4.6451,1.0,2.0,6.2,2.0
27.0,3.2963,1.0,1.0,7.7,2.0
119.0,4.7808,1.0,4.0,6.3,2.0
70.0,4.2472,1.0,1.0,6.6,2.0
24.0,3.1866,1.0,1.0,5.4,2.0
66.0,4.1852,1.0,3.0,7.1,2.0
46.0,3.8312,1.0,2.0,5.1,2.0
27.0,3.3051,1.0,2.0,7.0,2.0
125.0,4.8252,1.0,2.0,5.9,2.0
89.0,4.4931,1.0,1.0,7.5,2.0
333.0,5.8068,1.0,2.0,5.5,2.0
133.0,4.8867,1.0,2.0,5.0,2.0
11.0,2.3695,1.0,1.0,6.6,2.0
15.0,2.6912,1.0,1.0,4.6,2.0
221.0,5.3985,1.0,1.0,6.9,2.0
372.0,5.9179,1.0,3.0,5.7,2.0
161.0,5.0845,1.0,3.0,7.6,2.0
34.0,3.5268,1.0,1.0,6.1,2.0
31.0,3.4225,1.0,1.0,5.1,2.0
87.0,4.4612,1.0,1.0,6.3,2.0
410.0,6.0156,1.0,3.0,5.2,2.0
21.0,3.0236,1.0,2.0,4.6,2.0
58.0,4.0593,1.0,2.0,6.5,2.0
405.0,6.0035,1.0,4.0,7.6,2.0
15.0,2.6956,2.0,1.0,6.5,2.0
85.0,4.4469,2.0,2.0,5.9,2.0
28.0,3.347,2.0,1.0,3.6,2.0
9.0,2.2298,2.0,2.0,4.4,2.0
4.0,1.4786,2.0,1.0,6.8,2.0
69.0,4.2291,2.0,3.0,5.1,2.0
32.0,3.4511,2.0,1.0,6.3,2.0
181.0,5.1992,2.0,3.0,5.7,2.0
21.0,3.0321,2.0,1.0,4.6,2.0
37.0,3.6211,2.0,2.0,6.1,2.0
43.0,3.7525,2.0,3.0,7.4,2.0
65.0,4.1692,2.0,1.0,5.9,2.0
67.0,4.2018,2.0,2.0,5.6,2.0
22.0,3.0767,2.0,2.0,5.4,2.0
9.0,2.2082,2.0,1.0,4.5,2.0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
