DATE,WATER,TRAY,PERCGERM,V26,WATER3,PG3
3.0,1.0,1.0,36.6,,,
3.0,1.0,2.0,27.8,,,
3.0,1.0,3.0,28.5,,,
3.0,1.0,4.0,34.3,,,
3.0,1.0,5.0,26.8,,,
3.0,1.0,6.0,22.4,,,
3.0,1.0,7.0,25.8,,,
3.0,1.0,8.0,29.3,,,
3.0,1.0,9.0,34.8,,,
3.0,1.0,10.0,31.1,,,
3.0,2.0,1.0,22.6,,,
3.0,2.0,2.0,22.4,,,
3.0,2.0,3.0,24.9,,,
3.0,2.0,4.0,26.9,,,
3.0,2.0,5.0,29.8,,,
3.0,2.0,6.0,25.5,,,
3.0,2.0,7.0,23.9,,,
3.0,2.0,8.0,26.3,,,
3.0,2.0,9.0,33.5,,,
3.0,2.0,10.0,24.2,,,
