ticknumb,change,music,Crusty,Metaller,Indie_Kid
3307.0,-1.68,3.0,1.0,0.0,0.0
3308.0,,1.0,,,
3309.0,,4.0,,,
3310.0,,1.0,,,
3311.0,,2.0,,,
3312.0,,2.0,,,
3313.0,,2.0,,,
3314.0,-0.74,4.0,0.0,0.0,0.0
3315.0,,4.0,,,
3316.0,-1.35,4.0,0.0,0.0,0.0
3321.0,,2.0,,,
3325.0,,3.0,,,
3326.0,-0.47,4.0,0.0,0.0,0.0
3327.0,-0.41,4.0,0.0,0.0,0.0
3328.0,,2.0,,,
3329.0,,3.0,,,
3338.0,,4.0,,,
3340.0,0.5800000000000001,4.0,0.0,0.0,0.0
3341.0,,3.0,,,
3348.0,,3.0,,,
3349.0,,4.0,,,
3350.0,,1.0,,,
3351.0,-1.8399999999999999,4.0,0.0,0.0,0.0
3352.0,-1.3,4.0,0.0,0.0,0.0
3363.0,,4.0,,,
3365.0,,2.0,,,
3366.0,,3.0,,,
3367.0,,3.0,,,
3368.0,,1.0,,,
3369.0,,4.0,,,
3370.0,-0.6499999999999999,2.0,0.0,1.0,0.0
3371.0,,1.0,,,
3372.0,,2.0,,,
3373.0,,4.0,,,
3374.0,,3.0,,,
3375.0,,4.0,,,
3376.0,,4.0,,,
3377.0,,1.0,,,
3378.0,,4.0,,,
3379.0,,2.0,,,
3380.0,-0.89,4.0,0.0,0.0,0.0
3390.0,,4.0,,,
3391.0,,4.0,,,
3392.0,,1.0,,,
3393.0,,3.0,,,
3394.0,,2.0,,,
3395.0,,3.0,,,
3397.0,-0.5800000000000001,4.0,0.0,0.0,0.0
3398.0,,4.0,,,
3407.0,,4.0,,,
3411.0,,4.0,,,
3412.0,,4.0,,,
3413.0,,3.0,,,
3416.0,,4.0,,,
3418.0,,2.0,,,
3419.0,,2.0,,,
3420.0,,4.0,,,
3423.0,,1.0,,,
3429.0,,4.0,,,
3431.0,,3.0,,,
3449.0,,4.0,,,
3450.0,,3.0,,,
3453.0,,3.0,,,
3454.0,,2.0,,,
3455.0,,1.0,,,
3456.0,,3.0,,,
3457.0,,4.0,,,
3458.0,,4.0,,,
3460.0,,1.0,,,
3461.0,,4.0,,,
3464.0,,4.0,,,
3467.0,,4.0,,,
3468.0,,4.0,,,
3469.0,,1.0,,,
3477.0,-0.6400000000000001,4.0,0.0,0.0,0.0
3480.0,-2.06,1.0,0.0,0.0,1.0
3483.0,,4.0,,,
3490.0,-2.26,4.0,0.0,0.0,0.0
3493.0,,4.0,,,
3494.0,,2.0,,,
3495.0,,4.0,,,
3500.0,,4.0,,,
3501.0,,1.0,,,
3503.0,-0.4700000000000001,1.0,0.0,0.0,1.0
3510.0,,4.0,,,
3511.0,,4.0,,,
3512.0,,3.0,,,
3518.0,,1.0,,,
3519.0,,4.0,,,
3521.0,-1.48,4.0,0.0,0.0,0.0
3522.0,,4.0,,,
3523.0,,4.0,,,
3524.0,,4.0,,,
3525.0,,2.0,,,
3526.0,,4.0,,,
3536.0,,3.0,,,
3539.0,,3.0,,,
3540.0,,3.0,,,
3542.0,,1.0,,,
3545.0,,3.0,,,
3546.0,,4.0,,,
3551.0,,3.0,,,
3557.0,,4.0,,,
3565.0,-1.47,2.0,0.0,1.0,0.0
3567.0,-1.34,4.0,0.0,0.0,0.0
3568.0,0.030000000000000027,4.0,0.0,0.0,0.0
3569.0,-0.4099999999999997,4.0,0.0,0.0,0.0
3570.0,,2.0,,,
3571.0,-0.29,4.0,0.0,0.0,0.0
3572.0,0.17999999999999994,4.0,0.0,0.0,0.0
3573.0,,4.0,,,
3574.0,,4.0,,,
3575.0,,4.0,,,
3576.0,,1.0,,,
3577.0,,2.0,,,
3586.0,,4.0,,,
3587.0,,4.0,,,
3588.0,,1.0,,,
3593.0,,4.0,,,
3594.0,,3.0,,,
3595.0,,4.0,,,
3596.0,,4.0,,,
3597.0,,1.0,,,
3598.0,,2.0,,,
3599.0,,4.0,,,
3600.0,,2.0,,,
3601.0,,4.0,,,
3602.0,,3.0,,,
3603.0,,2.0,,,
3605.0,,1.0,,,
3606.0,,4.0,,,
3607.0,,4.0,,,
3609.0,,4.0,,,
3610.0,-1.6999999999999997,3.0,1.0,0.0,0.0
3613.0,,1.0,,,
3614.0,,4.0,,,
3620.0,,3.0,,,
3621.0,,3.0,,,
3622.0,,3.0,,,
3625.0,-0.23000000000000004,2.0,0.0,1.0,0.0
3626.0,,4.0,,,
3627.0,,4.0,,,
3628.0,-0.3600000000000001,4.0,0.0,0.0,0.0
3629.0,-0.27999999999999997,4.0,0.0,0.0,0.0
3631.0,,2.0,,,
3634.0,0.0,2.0,0.0,1.0,0.0
3635.0,0.07000000000000006,4.0,0.0,0.0,0.0
3645.0,,4.0,,,
3646.0,,2.0,,,
3647.0,,3.0,,,
3648.0,,4.0,,,
3649.0,0.19999999999999996,4.0,0.0,0.0,0.0
3652.0,,2.0,,,
3653.0,,1.0,,,
3654.0,,4.0,,,
3655.0,,4.0,,,
3656.0,,4.0,,,
3659.0,-1.1400000000000001,4.0,0.0,0.0,0.0
3660.0,-0.56,2.0,0.0,1.0,0.0
3667.0,,4.0,,,
3669.0,,4.0,,,
3670.0,,3.0,,,
3672.0,,3.0,,,
3676.0,,4.0,,,
3677.0,-1.08,3.0,1.0,0.0,0.0
3678.0,,4.0,,,
3680.0,-0.31000000000000005,2.0,0.0,1.0,0.0
3696.0,,3.0,,,
3697.0,,4.0,,,
3698.0,,2.0,,,
3709.0,,3.0,,,
3710.0,,3.0,,,
3711.0,,4.0,,,
3712.0,,4.0,,,
3713.0,,2.0,,,
3714.0,,3.0,,,
3715.0,,4.0,,,
3716.0,,1.0,,,
3717.0,,3.0,,,
3718.0,,4.0,,,
3719.0,,4.0,,,
3720.0,,4.0,,,
3721.0,,2.0,,,
3722.0,,1.0,,,
3723.0,-1.64,2.0,0.0,1.0,0.0
3724.0,,2.0,,,
3725.0,,3.0,,,
3726.0,,3.0,,,
3727.0,,3.0,,,
3728.0,,3.0,,,
3729.0,,3.0,,,
3730.0,,4.0,,,
3731.0,-0.59,2.0,0.0,1.0,0.0
3734.0,-0.71,1.0,0.0,0.0,1.0
3736.0,,3.0,,,
3753.0,,4.0,,,
3754.0,,2.0,,,
3759.0,,4.0,,,
3764.0,,4.0,,,
3769.0,,1.0,,,
3778.0,,3.0,,,
3779.0,,4.0,,,
3782.0,,4.0,,,
3783.0,,4.0,,,
3784.0,,4.0,,,
3785.0,,4.0,,,
3786.0,,4.0,,,
3787.0,,2.0,,,
3788.0,,1.0,,,
3791.0,,2.0,,,
3792.0,0.97,4.0,0.0,0.0,0.0
3793.0,,3.0,,,
3794.0,,2.0,,,
3796.0,-0.3200000000000003,4.0,0.0,0.0,0.0
3797.0,,3.0,,,
3798.0,,4.0,,,
3799.0,,4.0,,,
3804.0,,2.0,,,
3826.0,,2.0,,,
3828.0,,4.0,,,
3831.0,,3.0,,,
3836.0,,2.0,,,
3837.0,,1.0,,,
3838.0,,4.0,,,
3840.0,,2.0,,,
3844.0,,2.0,,,
3846.0,,3.0,,,
3849.0,-0.20999999999999996,2.0,0.0,1.0,0.0
3850.0,,1.0,,,
3851.0,,4.0,,,
3854.0,,3.0,,,
3855.0,,4.0,,,
3856.0,,4.0,,,
3857.0,,4.0,,,
3858.0,,4.0,,,
3859.0,,3.0,,,
3860.0,,1.0,,,
3869.0,,1.0,,,
3870.0,,4.0,,,
3871.0,,4.0,,,
3872.0,,4.0,,,
3873.0,,3.0,,,
3874.0,,4.0,,,
3875.0,,2.0,,,
3876.0,,4.0,,,
3879.0,,3.0,,,
3880.0,,2.0,,,
3882.0,,2.0,,,
3883.0,,3.0,,,
3888.0,-0.34999999999999987,2.0,0.0,1.0,0.0
3890.0,,2.0,,,
3909.0,,4.0,,,
3912.0,,4.0,,,
3913.0,,3.0,,,
3914.0,,4.0,,,
3916.0,-0.9100000000000001,1.0,0.0,0.0,1.0
3917.0,,1.0,,,
3918.0,,2.0,,,
3919.0,,4.0,,,
3920.0,-2.09,3.0,1.0,0.0,0.0
3921.0,,1.0,,,
3922.0,,4.0,,,
3923.0,0.0,4.0,0.0,0.0,0.0
3924.0,,2.0,,,
3925.0,,1.0,,,
3926.0,,2.0,,,
3927.0,,4.0,,,
3929.0,,2.0,,,
3930.0,,4.0,,,
3932.0,,2.0,,,
3942.0,,3.0,,,
3944.0,-1.3800000000000001,4.0,0.0,0.0,0.0
3945.0,,4.0,,,
3946.0,,3.0,,,
3947.0,-1.12,2.0,0.0,1.0,0.0
3948.0,-1.0299999999999998,2.0,0.0,1.0,0.0
3949.0,-0.26,4.0,0.0,0.0,0.0
3950.0,,2.0,,,
3951.0,,4.0,,,
3952.0,,4.0,,,
3954.0,,2.0,,,
3955.0,,2.0,,,
3964.0,,3.0,,,
3965.0,,4.0,,,
3966.0,,2.0,,,
3972.0,-0.53,3.0,1.0,0.0,0.0
3973.0,,1.0,,,
3986.0,,4.0,,,
3987.0,,3.0,,,
3988.0,,2.0,,,
3989.0,-0.4700000000000001,2.0,0.0,1.0,0.0
3990.0,,1.0,,,
3991.0,,4.0,,,
3992.0,,4.0,,,
3993.0,,4.0,,,
3994.0,,3.0,,,
3995.0,-0.55,2.0,0.0,1.0,0.0
3996.0,,3.0,,,
3997.0,,3.0,,,
4010.0,,3.0,,,
4011.0,,2.0,,,
4012.0,,4.0,,,
4013.0,,4.0,,,
4014.0,,1.0,,,
4015.0,,2.0,,,
4016.0,,4.0,,,
4017.0,,4.0,,,
4022.0,,1.0,,,
4023.0,,4.0,,,
4024.0,,4.0,,,
4025.0,,3.0,,,
4030.0,,2.0,,,
4032.0,,2.0,,,
4033.0,,2.0,,,
4034.0,,4.0,,,
4079.0,,1.0,,,
4089.0,-0.2899999999999999,4.0,0.0,0.0,0.0
4090.0,,1.0,,,
4092.0,,2.0,,,
4093.0,,1.0,,,
4095.0,,4.0,,,
4096.0,,4.0,,,
4101.0,,1.0,,,
4104.0,,3.0,,,
4105.0,-1.2599999999999998,3.0,1.0,0.0,0.0
4106.0,,2.0,,,
4107.0,,4.0,,,
4109.0,,4.0,,,
4110.0,,1.0,,,
4111.0,,3.0,,,
4114.0,,3.0,,,
4147.0,,2.0,,,
4148.0,,3.0,,,
4149.0,,3.0,,,
4150.0,,3.0,,,
4151.0,,2.0,,,
4152.0,-0.27000000000000024,2.0,0.0,1.0,0.0
4153.0,-0.55,1.0,0.0,0.0,1.0
4154.0,,2.0,,,
4155.0,,4.0,,,
4156.0,,1.0,,,
4157.0,-1.1199999999999999,1.0,0.0,0.0,1.0
4158.0,,4.0,,,
4159.0,-1.0,4.0,0.0,0.0,0.0
4160.0,,4.0,,,
4161.0,0.17999999999999994,3.0,1.0,0.0,0.0
4162.0,,3.0,,,
4163.0,,3.0,,,
4164.0,,4.0,,,
4165.0,0.20000000000000018,2.0,0.0,1.0,0.0
4166.0,,2.0,,,
4167.0,,3.0,,,
4168.0,,3.0,,,
4171.0,,3.0,,,
4172.0,-0.2999999999999998,3.0,1.0,0.0,0.0
4193.0,,4.0,,,
4194.0,-0.3500000000000001,3.0,1.0,0.0,0.0
4195.0,,1.0,,,
4196.0,0.1100000000000001,3.0,1.0,0.0,0.0
4197.0,-1.4100000000000001,2.0,0.0,1.0,0.0
4198.0,,3.0,,,
4199.0,,2.0,,,
4216.0,-0.95,2.0,0.0,1.0,0.0
4218.0,,3.0,,,
4219.0,,2.0,,,
4220.0,,3.0,,,
4221.0,,4.0,,,
4222.0,,2.0,,,
4223.0,,2.0,,,
4224.0,-0.43999999999999995,3.0,1.0,0.0,0.0
4225.0,,3.0,,,
4226.0,-1.0,4.0,0.0,0.0,0.0
4234.0,,4.0,,,
4235.0,-0.88,4.0,0.0,0.0,0.0
4236.0,,4.0,,,
4237.0,-0.56,3.0,1.0,0.0,0.0
4238.0,,4.0,,,
4239.0,,3.0,,,
4240.0,0.07999999999999985,2.0,0.0,1.0,0.0
4241.0,,4.0,,,
4245.0,,4.0,,,
4247.0,,4.0,,,
4249.0,,4.0,,,
4256.0,,3.0,,,
4257.0,,4.0,,,
4259.0,-0.53,4.0,0.0,0.0,0.0
4262.0,,3.0,,,
4263.0,,2.0,,,
4264.0,,3.0,,,
4265.0,-0.3600000000000001,2.0,0.0,1.0,0.0
4266.0,,2.0,,,
4267.0,,2.0,,,
4268.0,,4.0,,,
4269.0,,4.0,,,
4271.0,,3.0,,,
4274.0,,3.0,,,
4281.0,,3.0,,,
4284.0,,2.0,,,
4285.0,,4.0,,,
4287.0,,2.0,,,
4291.0,-1.47,1.0,0.0,0.0,1.0
4292.0,,4.0,,,
4294.0,,3.0,,,
4295.0,,3.0,,,
4297.0,,3.0,,,
4298.0,,4.0,,,
4301.0,,4.0,,,
4302.0,,3.0,,,
4305.0,,3.0,,,
4306.0,,3.0,,,
4308.0,,4.0,,,
4309.0,,3.0,,,
4310.0,,4.0,,,
4311.0,,4.0,,,
4312.0,,3.0,,,
4313.0,,1.0,,,
4314.0,,2.0,,,
4333.0,,1.0,,,
4334.0,,4.0,,,
4335.0,,1.0,,,
4336.0,,4.0,,,
4349.0,-1.79,3.0,1.0,0.0,0.0
4351.0,,3.0,,,
4352.0,,3.0,,,
4353.0,,2.0,,,
4354.0,-1.92,3.0,1.0,0.0,0.0
4355.0,-0.1200000000000001,2.0,0.0,1.0,0.0
4356.0,,1.0,,,
4357.0,,3.0,,,
4358.0,,4.0,,,
4359.0,,2.0,,,
4360.0,,1.0,,,
4361.0,,4.0,,,
4363.0,-1.38,2.0,0.0,1.0,0.0
4366.0,,4.0,,,
4370.0,,4.0,,,
4382.0,,3.0,,,
4383.0,,3.0,,,
4384.0,,1.0,,,
4385.0,,3.0,,,
4386.0,,3.0,,,
4387.0,,4.0,,,
4388.0,,4.0,,,
4389.0,-0.8500000000000001,4.0,0.0,0.0,0.0
4391.0,,4.0,,,
4392.0,,4.0,,,
4393.0,,2.0,,,
4394.0,,2.0,,,
4396.0,,4.0,,,
4397.0,,4.0,,,
4398.0,0.20999999999999996,1.0,0.0,0.0,1.0
4404.0,,1.0,,,
4405.0,-0.6799999999999999,4.0,0.0,0.0,0.0
4410.0,,3.0,,,
4419.0,,4.0,,,
4428.0,,4.0,,,
4430.0,,2.0,,,
4435.0,,4.0,,,
4436.0,,1.0,,,
4437.0,,4.0,,,
4439.0,,2.0,,,
4440.0,,3.0,,,
4441.0,,3.0,,,
4442.0,,1.0,,,
4443.0,,2.0,,,
4444.0,,4.0,,,
4445.0,-0.24999999999999994,4.0,0.0,0.0,0.0
4446.0,,1.0,,,
4447.0,,2.0,,,
4448.0,,2.0,,,
4452.0,,4.0,,,
4453.0,,2.0,,,
4454.0,-0.26,4.0,0.0,0.0,0.0
4455.0,,4.0,,,
4456.0,,2.0,,,
4459.0,,4.0,,,
4464.0,,4.0,,,
4467.0,,2.0,,,
4468.0,,3.0,,,
4470.0,,2.0,,,
4479.0,,3.0,,,
4481.0,,1.0,,,
4482.0,,4.0,,,
4485.0,,4.0,,,
4486.0,,4.0,,,
4488.0,,4.0,,,
4507.0,0.24,4.0,0.0,0.0,0.0
4509.0,,3.0,,,
4510.0,,2.0,,,
4511.0,-0.47,2.0,0.0,1.0,0.0
4512.0,,4.0,,,
4514.0,,1.0,,,
4515.0,,3.0,,,
4516.0,,4.0,,,
4517.0,,4.0,,,
4518.0,,3.0,,,
4519.0,,2.0,,,
4525.0,,4.0,,,
4533.0,,1.0,,,
4552.0,,3.0,,,
4553.0,,1.0,,,
4554.0,,3.0,,,
4555.0,,4.0,,,
4559.0,,2.0,,,
4563.0,-0.82,3.0,1.0,0.0,0.0
4564.0,0.03000000000000025,2.0,0.0,1.0,0.0
4569.0,-1.44,4.0,0.0,0.0,0.0
4570.0,,4.0,,,
4571.0,,2.0,,,
4582.0,-0.48,1.0,0.0,0.0,1.0
4590.0,,2.0,,,
4597.0,,4.0,,,
4598.0,,3.0,,,
4601.0,,4.0,,,
4607.0,,4.0,,,
4611.0,,4.0,,,
4654.0,0.5299999999999998,4.0,0.0,0.0,0.0
4655.0,,4.0,,,
4663.0,,4.0,,,
4666.0,-0.11999999999999988,4.0,0.0,0.0,0.0
4690.0,,3.0,,,
4692.0,,2.0,,,
4693.0,-0.9100000000000001,1.0,0.0,0.0,1.0
4694.0,,3.0,,,
4695.0,,2.0,,,
4696.0,,4.0,,,
4697.0,,1.0,,,
4698.0,,1.0,,,
4699.0,,4.0,,,
4704.0,,1.0,,,
4710.0,,4.0,,,
4711.0,,4.0,,,
4724.0,-0.1200000000000001,2.0,0.0,1.0,0.0
4725.0,,4.0,,,
4740.0,,4.0,,,
4744.0,,3.0,,,
4749.0,,2.0,,,
4756.0,,4.0,,,
4758.0,,1.0,,,
4759.0,,4.0,,,
4760.0,,4.0,,,
4765.0,,3.0,,,
