ID,Grade,Age,Gender,NEO_FFI,NPQC_R,FB_Status,FB_Profile_TOT
67.0,2.0,14.0,0.0,40.0,36.0,7.0,
68.0,2.0,14.0,0.0,48.0,30.0,,15.0
70.0,2.0,14.0,0.0,50.0,45.0,0.5,9.0
71.0,2.0,14.0,1.0,42.0,33.0,0.0,
72.0,2.0,14.0,0.0,47.0,23.0,3.5,4.0
74.0,2.0,14.0,0.0,51.0,30.0,0.75,11.0
75.0,2.0,14.0,0.0,49.0,39.0,0.08,12.0
76.0,2.0,14.0,0.0,37.0,21.0,3.0,5.0
77.0,2.0,14.0,1.0,38.0,20.0,1.0,
78.0,2.0,14.0,1.0,49.0,33.0,0.0,
79.0,2.0,14.0,0.0,48.0,31.0,7.0,13.0
80.0,2.0,14.0,1.0,49.0,41.0,0.75,11.0
81.0,2.0,14.0,1.0,37.0,33.0,2.0,
82.0,2.0,14.0,1.0,46.0,38.0,0.0,7.0
83.0,2.0,14.0,1.0,44.0,23.0,0.0,
84.0,2.0,14.0,0.0,38.0,17.0,0.25,
89.0,3.0,15.0,0.0,45.0,35.0,0.25,
90.0,3.0,15.0,0.0,52.0,35.0,2.0,10.0
91.0,3.0,15.0,1.0,39.0,26.0,7.0,8.0
93.0,3.0,15.0,0.0,44.16,35.0,3.5,16.0
95.0,3.0,15.0,1.0,51.0,48.0,0.25,13.0
96.0,3.0,15.0,0.0,38.0,23.0,0.5,8.0
97.0,3.0,15.0,1.0,54.0,41.0,0.25,16.0
98.0,3.0,15.0,0.0,47.870000000000005,36.0,,12.0
99.0,3.0,15.0,0.0,50.0,29.0,0.5,12.0
100.0,3.0,15.0,0.0,47.0,34.0,2.0,10.0
101.0,3.0,15.0,0.0,57.0,50.0,7.0,14.0
102.0,3.0,15.0,1.0,42.0,36.0,1.0,13.0
103.0,3.0,15.0,0.0,43.0,27.0,1.0,12.0
105.0,3.0,15.0,0.0,44.0,31.0,0.5,12.0
106.0,3.0,15.0,0.0,48.0,35.0,0.75,14.0
107.0,3.0,15.0,0.0,45.0,25.0,0.25,9.0
108.0,3.0,15.0,0.0,45.0,23.0,1.0,12.0
109.0,3.0,15.0,0.0,44.0,32.0,0.0,6.0
110.0,3.0,15.0,1.0,45.0,32.0,1.0,13.0
111.0,3.0,15.0,0.0,47.0,32.0,1.25,12.0
112.0,3.0,15.0,0.0,44.0,25.0,1.0,11.0
113.0,3.0,15.0,1.0,38.0,36.0,1.0,11.0
114.0,3.0,15.0,0.0,44.0,37.0,3.5,12.0
115.0,3.0,15.0,0.0,40.0,33.0,0.5,12.0
116.0,3.0,15.0,0.0,41.0,19.0,1.0,8.0
117.0,3.0,15.0,0.0,38.0,25.0,1.0,5.0
118.0,3.0,15.0,0.0,35.0,36.0,0.5,6.0
119.0,3.0,15.0,0.0,42.0,33.0,0.5,12.0
120.0,3.0,15.0,1.0,44.0,29.0,0.5,12.0
139.0,1.0,12.0,1.0,40.0,31.0,0.5,4.0
140.0,1.0,13.0,1.0,53.0,37.0,,
141.0,1.0,12.0,0.0,42.0,45.0,3.0,
142.0,1.0,14.0,1.0,33.0,30.0,0.0,
143.0,1.0,13.0,0.0,43.0,34.0,2.0,12.0
144.0,1.0,13.0,0.0,47.0,34.0,0.083,18.0
145.0,1.0,13.0,0.0,41.0,26.0,0.5,4.0
146.0,1.0,13.0,0.0,43.0,20.0,0.5,7.0
147.0,1.0,13.0,1.0,39.0,36.41,1.0,12.0
148.0,1.0,13.0,1.0,45.0,28.46,7.0,20.0
149.0,1.0,13.0,0.0,52.0,45.0,7.0,15.0
150.0,1.0,13.0,0.0,52.0,28.0,1.75,10.0
151.0,1.0,,1.0,45.0,53.0,2.0,
152.0,1.0,12.0,0.0,46.0,29.0,2.0,10.0
153.0,1.0,13.0,0.0,44.0,44.0,7.0,
154.0,1.0,14.0,1.0,39.0,36.0,1.0,12.0
156.0,1.0,13.0,0.0,40.0,42.0,7.0,9.0
157.0,1.0,13.0,1.0,46.0,27.44,0.5,7.0
158.0,1.0,13.0,1.0,33.0,23.0,7.0,7.0
159.0,1.0,13.0,1.0,41.0,34.0,,
160.0,1.0,,0.0,48.0,40.52,0.5,6.0
161.0,1.0,14.0,1.0,38.0,28.0,,
164.0,3.0,17.0,1.0,41.0,41.0,1.0,13.0
165.0,3.0,15.0,0.0,38.0,17.0,0.25,4.0
166.0,3.0,15.0,0.0,42.0,17.0,0.0,
167.0,3.0,15.0,0.0,47.0,39.0,7.0,11.0
168.0,3.0,15.0,0.0,35.0,24.0,7.0,12.0
170.0,3.0,15.0,1.0,48.0,50.0,0.0,15.0
171.0,3.0,15.0,1.0,46.0,36.0,,
172.0,3.0,15.0,1.0,36.0,35.0,2.0,12.0
173.0,3.0,15.0,0.0,34.0,21.0,4.0,5.0
174.0,3.0,18.0,1.0,34.0,28.0,0.0,9.0
175.0,3.0,15.0,0.0,35.0,22.0,7.0,12.0
176.0,3.0,14.0,0.0,47.0,35.0,0.25,12.0
177.0,3.0,15.0,0.0,36.0,18.0,0.25,
178.0,3.0,15.0,1.0,46.0,29.0,0.042,16.0
179.0,3.0,15.0,1.0,41.0,29.0,0.25,
181.0,3.0,15.0,0.0,53.0,42.0,14.0,16.0
182.0,3.0,14.0,0.0,44.0,27.0,0.0,11.0
183.0,3.0,15.0,0.0,46.0,27.0,0.0,12.0
184.0,3.0,16.0,0.0,42.0,36.0,0.042,17.0
185.0,3.0,15.0,1.0,28.0,34.0,0.0,
186.0,3.0,15.0,0.0,41.0,40.0,0.5,11.0
187.0,3.0,14.0,0.0,40.0,25.0,0.5,8.0
188.0,3.0,15.0,1.0,45.0,42.0,1.0,12.0
189.0,3.0,15.0,1.0,39.0,31.0,0.0,
191.0,3.0,15.0,0.0,36.0,25.0,0.25,10.0
192.0,3.0,15.0,1.0,43.0,33.0,0.25,12.0
193.0,3.0,15.0,1.0,41.0,36.0,0.0,20.0
194.0,3.0,15.0,1.0,51.0,45.0,0.021,20.0
195.0,3.0,15.0,0.0,46.0,45.0,7.0,
196.0,3.0,15.0,0.0,37.0,23.0,0.25,
197.0,3.0,15.0,0.0,41.76,29.0,0.25,
198.0,3.0,15.0,0.0,38.0,31.0,0.25,12.0
199.0,3.0,15.0,0.0,47.0,23.0,0.25,6.0
200.0,3.0,15.0,0.0,49.0,45.0,0.5,
201.0,3.0,15.0,0.0,43.0,28.0,1.0,9.0
202.0,3.0,15.0,0.0,36.0,19.0,0.25,
203.0,3.0,15.0,0.0,38.0,26.0,2.0,12.0
204.0,3.0,14.0,0.0,50.0,37.06,0.5,14.0
205.0,3.0,15.0,0.0,58.0,38.0,2.0,12.0
206.0,3.0,15.0,0.0,49.0,37.0,0.25,
207.0,3.0,15.0,0.0,43.0,42.0,0.021,
208.0,3.0,15.0,0.0,35.0,23.0,0.25,8.0
209.0,3.0,16.0,0.0,50.0,40.0,0.25,18.0
211.0,3.0,15.0,1.0,45.0,41.0,0.25,11.0
212.0,3.0,15.0,1.0,39.0,39.06,0.25,
213.0,3.0,15.0,0.0,48.6,28.0,0.0,10.0
214.0,3.0,15.0,1.0,56.0,47.0,3.5,20.0
215.0,3.0,15.0,1.0,49.0,46.0,1.0,12.0
216.0,3.0,16.0,1.0,33.0,25.0,0.5,
217.0,3.0,15.0,0.0,47.0,30.0,1.0,12.0
218.0,3.0,15.0,0.0,43.0,31.0,0.0,
219.0,3.0,15.0,0.0,37.0,41.0,1.0,13.0
220.0,3.0,15.0,0.0,48.0,34.0,0.042,14.0
221.0,3.0,15.0,0.0,46.0,26.0,0.0,12.0
222.0,3.0,14.0,1.0,45.0,35.0,4.0,19.0
223.0,3.0,15.0,1.0,38.0,32.0,0.021,
224.0,3.0,15.0,1.0,43.0,37.0,0.0,
225.0,3.0,15.0,0.0,50.0,36.0,1.75,8.0
226.0,3.0,15.0,0.0,52.0,30.0,1.0,12.0
227.0,3.0,15.0,0.0,42.0,31.0,1.0,12.0
234.0,2.0,14.0,1.0,53.0,35.0,0.25,
235.0,2.0,14.0,1.0,43.0,39.0,1.0,
236.0,2.0,14.0,1.0,43.0,38.0,,16.0
237.0,2.0,14.0,1.0,45.0,44.0,,12.0
238.0,2.0,14.0,1.0,39.0,24.52,0.25,12.0
239.0,2.0,14.0,1.0,31.0,25.0,1.0,
241.0,2.0,14.0,0.0,41.0,33.0,0.25,
242.0,2.0,14.0,0.0,44.0,36.0,1.0,12.0
243.0,2.0,14.0,0.0,49.0,36.0,0.5,4.0
244.0,2.0,14.0,1.0,36.0,29.0,0.25,
245.0,2.0,14.0,1.0,37.0,37.0,0.021,8.0
246.0,2.0,14.0,1.0,50.0,52.0,7.0,20.0
247.0,2.0,14.0,0.0,40.0,33.0,7.0,12.0
248.0,2.0,14.0,1.0,49.0,31.0,1.0,14.0
249.0,2.0,14.0,1.0,50.0,39.0,0.25,12.0
250.0,2.0,14.0,0.0,42.0,27.0,4.0,9.0
251.0,2.0,14.0,0.0,49.0,35.0,3.0,10.0
252.0,2.0,13.0,0.0,49.0,33.0,0.0,12.0
253.0,2.0,14.0,0.0,57.0,29.0,7.0,8.0
255.0,2.0,14.0,0.0,48.0,38.0,7.0,12.0
256.0,2.0,14.0,0.0,41.0,34.0,0.25,10.0
257.0,2.0,14.0,0.0,37.0,36.0,1.0,
258.0,2.0,14.0,0.0,54.0,41.0,,16.0
264.0,3.0,16.0,1.0,45.0,38.0,0.0,4.0
272.0,3.0,15.0,0.0,47.08,32.0,7.0,14.0
273.0,3.0,15.0,1.0,33.0,21.0,1.14,12.0
274.0,3.0,15.0,1.0,40.0,37.0,3.0,4.0
275.0,3.0,15.0,0.0,42.0,36.0,1.0,12.0
276.0,3.0,15.0,0.0,46.0,34.0,1.0,
277.0,3.0,15.0,1.0,45.0,45.0,0.0,12.0
279.0,3.0,15.0,0.0,32.0,36.0,0.0,
280.0,3.0,15.0,0.0,41.0,19.0,0.125,12.0
281.0,3.0,16.0,0.0,40.0,31.0,2.33,16.0
282.0,3.0,16.0,0.0,43.0,35.0,0.083,11.0
283.0,3.0,17.0,0.0,43.0,23.0,0.5,9.0
284.0,3.0,18.0,1.0,54.0,31.06,0.019,9.0
285.0,3.0,15.0,0.0,43.0,39.0,0.0,
286.0,3.0,15.0,1.0,40.0,30.0,0.25,
287.0,3.0,16.0,0.0,47.0,38.0,1.0,19.0
288.0,3.0,16.0,0.0,39.0,30.0,0.5,11.0
289.0,3.0,15.0,0.0,34.0,28.0,3.0,
290.0,3.0,15.0,0.0,51.0,39.0,0.75,12.0
291.0,3.0,15.0,0.0,39.0,34.0,0.0,4.0
292.0,3.0,15.0,0.0,33.0,28.0,0.0,
293.0,3.0,15.0,0.0,47.0,38.0,2.0,12.0
294.0,3.0,15.0,0.0,41.0,40.0,1.0,13.0
295.0,3.0,15.0,0.0,46.0,27.0,1.0,9.0
296.0,3.0,16.0,1.0,35.0,28.0,,
314.0,2.0,14.0,0.0,43.0,33.0,0.5,10.0
316.0,2.0,13.0,0.0,35.0,28.06,1.0,
318.0,2.0,15.0,0.0,48.0,39.47,0.0,12.0
319.0,2.0,14.0,0.0,46.0,31.0,0.5,8.0
320.0,2.0,14.0,0.0,39.0,24.0,7.0,12.0
321.0,2.0,14.0,0.0,55.0,49.0,,15.0
322.0,2.0,14.0,0.0,52.0,30.0,1.25,15.0
324.0,2.0,14.0,0.0,49.0,34.0,14.0,16.0
325.0,2.0,14.0,0.0,41.0,32.0,0.25,4.0
326.0,2.0,14.0,1.0,54.0,30.0,0.0,
327.0,2.0,14.0,1.0,38.0,44.0,0.25,12.0
328.0,2.0,14.0,0.0,53.0,35.0,7.0,10.0
329.0,2.0,14.0,1.0,42.0,24.0,1.0,12.0
330.0,2.0,14.0,0.0,41.0,32.0,,9.0
331.0,2.0,14.0,1.0,51.0,45.0,0.019,20.0
332.0,2.0,14.0,0.0,50.0,24.0,0.25,
338.0,1.0,13.0,0.0,44.0,14.0,0.25,8.0
339.0,1.0,13.0,0.0,43.0,17.0,0.019,
340.0,1.0,13.0,1.0,43.0,36.0,1.0,11.0
341.0,1.0,13.0,1.0,42.0,41.0,1.0,12.0
342.0,1.0,13.0,1.0,36.0,20.0,0.0,
343.0,1.0,12.0,0.0,44.0,31.0,0.0,14.0
344.0,1.0,12.0,0.0,41.0,29.0,0.0,
345.0,1.0,13.0,0.0,45.0,26.0,0.0,8.0
347.0,1.0,12.0,0.0,53.0,47.0,0.5,12.0
348.0,1.0,13.0,0.0,42.0,33.0,7.0,
349.0,1.0,13.0,0.0,44.0,29.0,0.25,12.0
350.0,1.0,13.0,0.0,35.0,22.0,2.0,12.0
351.0,1.0,13.0,1.0,32.0,25.0,0.25,
352.0,1.0,13.0,1.0,45.0,16.0,0.25,
353.0,1.0,15.0,1.0,40.08,37.0,2.0,
355.0,1.0,15.0,0.0,38.0,25.0,,8.0
356.0,1.0,13.0,0.0,36.0,23.0,,8.0
357.0,1.0,13.0,0.0,39.0,22.0,1.0,10.0
361.0,1.0,13.0,1.0,51.0,51.0,2.0,17.0
362.0,1.0,13.0,1.0,44.0,40.0,0.25,
367.0,2.0,16.0,0.0,37.0,30.0,0.0,16.0
368.0,2.0,14.0,1.0,36.0,36.0,7.0,
369.0,2.0,13.0,0.0,38.0,29.0,0.25,
371.0,2.0,13.0,0.0,50.0,33.99,0.5,
372.0,2.0,14.0,0.0,47.0,26.0,0.25,10.0
373.0,2.0,13.0,1.0,42.0,34.0,0.33,8.0
375.0,2.0,14.0,1.0,48.0,41.39,0.019,17.0
376.0,2.0,14.0,1.0,42.0,42.0,0.25,13.0
377.0,2.0,14.0,1.0,39.0,33.0,,12.0
378.0,2.0,14.0,1.0,37.0,36.0,0.0,12.0
379.0,2.0,14.0,1.0,47.0,37.0,1.0,20.0
380.0,2.0,14.0,1.0,46.0,30.0,,14.0
381.0,2.0,14.0,0.0,44.0,36.0,2.0,12.0
383.0,2.0,14.0,0.0,37.0,36.0,0.5,12.0
385.0,2.0,16.0,1.0,45.0,38.0,1.0,16.0
388.0,2.0,15.0,0.0,44.0,42.0,3.5,16.0
