ID,Gender,Inverted_Women,Upright_Women,Inverted_Men,Upright_Men
58.0,2.0,0.9166666666666666,1.0,0.8333333333333334,0.9166666666666666
59.0,2.0,1.0,0.9166666666666666,0.75,1.0
60.0,2.0,0.9166666666666666,1.0,0.75,0.8333333333333334
61.0,2.0,0.9166666666666666,1.0,0.6666666666666666,0.8333333333333334
62.0,2.0,0.4166666666666667,0.4166666666666667,0.25,0.4166666666666667
63.0,1.0,0.9166666666666666,0.9166666666666666,0.6666666666666666,0.75
64.0,1.0,0.9166666666666666,1.0,0.8333333333333334,1.0
65.0,1.0,0.8333333333333334,0.9166666666666666,0.75,0.8333333333333334
66.0,1.0,0.9166666666666666,1.0,0.9166666666666666,1.0
67.0,1.0,0.5,0.9166666666666666,0.8333333333333334,0.8333333333333334
68.0,1.0,1.0,0.9166666666666666,0.6666666666666666,0.9166666666666666
69.0,1.0,0.75,0.5833333333333334,0.5,0.8333333333333334
70.0,1.0,0.9166666666666666,0.5833333333333334,1.0,0.5833333333333334
71.0,1.0,0.75,0.6666666666666666,0.5833333333333334,0.6666666666666666
72.0,1.0,1.0,0.8333333333333334,0.75,1.0
73.0,1.0,1.0,0.9166666666666666,0.6666666666666666,0.9166666666666666
74.0,1.0,1.0,0.75,0.5833333333333334,0.5833333333333334
75.0,2.0,0.75,0.6666666666666666,0.5833333333333334,0.9166666666666666
76.0,1.0,0.5833333333333334,0.5,0.5,0.25
78.0,1.0,0.6666666666666666,0.9166666666666666,0.75,0.6666666666666666
79.0,2.0,0.6666666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666
80.0,1.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,1.0
81.0,2.0,0.75,0.8333333333333334,0.6666666666666666,1.0
