Question_01,Question_02,Question_03,Question_04,Question_05,Question_06,Question_07,Question_08,Question_09,Question_10,Question_11,Question_12,Question_13,Question_14,Question_15,Question_16,Question_17,Question_18,Question_19,Question_20,Question_21,Question_22,Question_23
1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,4.0,4.0
2.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,5.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0
2.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,5.0,2.0,1.0,3.0,1.0,2.0,2.0,3.0,1.0,1.0,4.0,2.0,2.0,4.0,4.0
2.0,1.0,5.0,2.0,3.0,4.0,4.0,1.0,5.0,1.0,2.0,5.0,2.0,5.0,5.0,5.0,2.0,5.0,1.0,5.0,5.0,5.0,5.0
1.0,2.0,3.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,3.0,2.0,5.0
3.0,2.0,4.0,4.0,4.0,5.0,5.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,2.0,5.0,5.0,2.0,4.0
2.0,1.0,2.0,4.0,2.0,2.0,4.0,3.0,4.0,2.0,3.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,5.0
1.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,3.0,2.0,4.0,2.0,2.0,1.0,1.0,5.0,2.0,4.0,5.0
2.0,1.0,5.0,4.0,2.0,3.0,3.0,4.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0
2.0,1.0,3.0,3.0,2.0,1.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,5.0,4.0,3.0,3.0
3.0,2.0,5.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,3.0,4.0,3.0,5.0,5.0,3.0,5.0,2.0,3.0,4.0,2.0,2.0
1.0,2.0,2.0,1.0,1.0,5.0,2.0,1.0,4.0,4.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0
2.0,2.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0
2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,5.0
2.0,2.0,5.0,1.0,2.0,1.0,2.0,1.0,4.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,3.0,3.0,4.0
1.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,5.0
2.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0
3.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0
2.0,1.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,1.0,4.0,4.0,4.0,3.0
2.0,1.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,5.0,4.0,2.0,5.0,3.0,4.0,4.0
3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,3.0,2.0,4.0
1.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,4.0,2.0,1.0,2.0,1.0,3.0,4.0,2.0,2.0,1.0,4.0,1.0,2.0,3.0,4.0
2.0,2.0,3.0,4.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,5.0,4.0,2.0,3.0
1.0,1.0,1.0,2.0,2.0,4.0,4.0,1.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0
2.0,3.0,5.0,2.0,3.0,3.0,4.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,5.0
3.0,2.0,5.0,4.0,3.0,2.0,4.0,5.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,1.0,4.0,4.0,3.0,4.0
2.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0
1.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0
3.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0
2.0,1.0,5.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,4.0,3.0,2.0,1.0
3.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0,5.0,2.0,3.0,3.0,5.0
2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0
2.0,1.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0
2.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,4.0,3.0,2.0,4.0
1.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0
2.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0
2.0,1.0,3.0,3.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,4.0
3.0,1.0,5.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,4.0,2.0,4.0,4.0,4.0,3.0
3.0,1.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,4.0,4.0,2.0,3.0,1.0,5.0,2.0,3.0,4.0
4.0,2.0,5.0,4.0,5.0,4.0,3.0,2.0,2.0,5.0,2.0,4.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,5.0,5.0,3.0,3.0
3.0,2.0,3.0,2.0,4.0,1.0,3.0,5.0,4.0,2.0,5.0,2.0,4.0,3.0,2.0,2.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0
2.0,4.0,2.0,2.0,4.0,1.0,1.0,1.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,4.0,2.0,2.0,4.0,3.0
1.0,1.0,4.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,3.0,5.0,4.0,3.0,4.0
2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,4.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0
2.0,2.0,2.0,4.0,4.0,2.0,4.0,1.0,5.0,2.0,1.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0
2.0,1.0,4.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,1.0,5.0,4.0,2.0,4.0
2.0,1.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0
2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,5.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0
2.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,5.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,4.0,4.0
2.0,1.0,3.0,3.0,3.0,4.0,5.0,2.0,1.0,3.0,2.0,4.0,3.0,4.0,5.0,3.0,3.0,1.0,3.0,5.0,5.0,2.0,3.0
5.0,1.0,5.0,5.0,5.0,1.0,5.0,5.0,3.0,1.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,3.0,1.0,5.0,5.0,4.0,3.0
3.0,1.0,5.0,3.0,4.0,3.0,3.0,3.0,2.0,5.0,3.0,4.0,3.0,5.0,2.0,4.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0
3.0,1.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,2.0
3.0,1.0,5.0,4.0,3.0,2.0,4.0,4.0,1.0,2.0,4.0,3.0,2.0,3.0,4.0,4.0,2.0,3.0,1.0,4.0,4.0,3.0,4.0
1.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0
3.0,2.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0
2.0,2.0,3.0,3.0,4.0,2.0,3.0,2.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0
2.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,4.0,3.0,3.0,2.0,3.0
2.0,4.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,2.0,3.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0
1.0,1.0,4.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,4.0,4.0,3.0,2.0,2.0
3.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,4.0,2.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,4.0
3.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,1.0,5.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0
2.0,1.0,3.0,2.0,3.0,1.0,3.0,3.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,4.0,4.0,3.0,4.0
2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,1.0,3.0
3.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,5.0,2.0,1.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0
3.0,1.0,4.0,4.0,3.0,5.0,5.0,5.0,1.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,3.0,5.0
3.0,1.0,2.0,3.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,1.0,4.0
2.0,1.0,1.0,5.0,1.0,1.0,5.0,5.0,5.0,1.0,5.0,5.0,1.0,1.0,4.0,4.0,1.0,4.0,1.0,5.0,5.0,5.0,5.0
3.0,2.0,5.0,3.0,3.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,3.0,3.0
2.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0
2.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,4.0
2.0,1.0,3.0,2.0,4.0,2.0,2.0,1.0,5.0,1.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,4.0,5.0
1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,3.0,4.0,5.0
2.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,4.0,3.0,4.0,2.0,2.0,3.0,2.0,1.0,4.0,4.0,2.0,2.0
3.0,1.0,3.0,1.0,4.0,3.0,4.0,1.0,4.0,4.0,2.0,2.0,2.0,3.0,1.0,4.0,2.0,3.0,1.0,4.0,3.0,4.0,4.0
3.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0
3.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,5.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,4.0,5.0
3.0,2.0,1.0,5.0,5.0,2.0,5.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0
4.0,1.0,2.0,3.0,4.0,1.0,3.0,2.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,5.0,3.0,3.0,1.0,2.0,3.0,3.0,4.0
2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
2.0,1.0,5.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,1.0,5.0,3.0,1.0,3.0
2.0,2.0,2.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0,1.0
2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,4.0,4.0
2.0,2.0,4.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0
2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,4.0,3.0,3.0,4.0
2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,4.0
2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,4.0,4.0
1.0,2.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,4.0,2.0,4.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,4.0,3.0,1.0,4.0
3.0,1.0,5.0,4.0,4.0,5.0,4.0,3.0,1.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,1.0,3.0,4.0,2.0,5.0
2.0,2.0,2.0,4.0,4.0,5.0,5.0,1.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,1.0,2.0,4.0,1.0,5.0,5.0,2.0,5.0
3.0,1.0,3.0,3.0,5.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,4.0,3.0,4.0
1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,3.0,1.0,4.0
2.0,2.0,3.0,3.0,2.0,5.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,5.0,5.0
3.0,1.0,5.0,4.0,4.0,5.0,5.0,4.0,2.0,4.0,4.0,4.0,3.0,2.0,4.0,5.0,3.0,4.0,2.0,4.0,3.0,3.0,5.0
3.0,2.0,4.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,2.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,2.0,4.0,4.0,2.0,3.0
3.0,1.0,4.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,4.0
2.0,1.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,2.0,1.0,4.0,3.0,4.0,4.0
2.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,1.0,3.0,5.0,2.0,5.0,4.0
2.0,1.0,4.0,4.0,5.0,1.0,5.0,3.0,1.0,1.0,2.0,4.0,2.0,3.0,5.0,4.0,2.0,1.0,1.0,5.0,3.0,1.0,4.0
2.0,1.0,3.0,1.0,3.0,4.0,4.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0
1.0,1.0,4.0,2.0,2.0,3.0,4.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0,5.0,4.0,4.0,5.0
2.0,1.0,5.0,3.0,1.0,5.0,4.0,2.0,1.0,1.0,3.0,2.0,3.0,5.0,4.0,3.0,3.0,2.0,1.0,4.0,4.0,1.0,5.0
2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,3.0,5.0
2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0
2.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,3.0,2.0,2.0,4.0,2.0,4.0,1.0,5.0,4.0,4.0,4.0
2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0
3.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0
3.0,1.0,5.0,3.0,3.0,2.0,4.0,2.0,1.0,3.0,4.0,4.0,5.0,5.0,3.0,4.0,3.0,5.0,1.0,5.0,4.0,1.0,3.0
3.0,2.0,5.0,3.0,4.0,2.0,4.0,2.0,4.0,3.0,2.0,5.0,2.0,5.0,3.0,4.0,2.0,4.0,1.0,3.0,4.0,3.0,3.0
3.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,4.0,3.0,4.0,4.0
2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0
2.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,5.0,5.0
2.0,1.0,3.0,2.0,3.0,2.0,1.0,2.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0
2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,4.0
1.0,2.0,4.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,4.0,3.0,2.0,5.0
3.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,4.0,4.0,3.0,3.0
1.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0
2.0,2.0,5.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,5.0,3.0,3.0,1.0
2.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,2.0,4.0,3.0,1.0,2.0
1.0,4.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0
1.0,2.0,3.0,2.0,3.0,1.0,4.0,2.0,4.0,2.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0
2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0
1.0,2.0,4.0,3.0,3.0,4.0,3.0,1.0,4.0,3.0,1.0,4.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,4.0,3.0,2.0,1.0
2.0,1.0,5.0,4.0,5.0,3.0,5.0,1.0,2.0,4.0,1.0,4.0,1.0,4.0,5.0,5.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0
2.0,1.0,3.0,2.0,2.0,2.0,4.0,2.0,5.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,4.0
2.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0
2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0
4.0,2.0,4.0,3.0,4.0,1.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,3.0,4.0,3.0,2.0,1.0,2.0,2.0,4.0,1.0
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0
2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0
2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,3.0,2.0,4.0,4.0
3.0,1.0,3.0,3.0,2.0,3.0,4.0,3.0,1.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,1.0,3.0,4.0,1.0,4.0
