VERBAL,MATH,GPA,YEAR
523.0,614.0,2.1,2.0
571.0,674.0,1.6,2.0
680.0,490.0,2.0,2.0
550.0,782.0,2.5,2.0
544.0,575.0,1.4,2.0
580.0,677.0,2.1,2.0
626.0,724.0,2.0,2.0
617.0,621.0,2.0,2.0
578.0,609.0,0.3,2.0
430.0,710.0,2.4,2.0
662.0,624.0,2.6,2.0
494.0,561.0,2.5,2.0
520.0,618.0,2.3,2.0
760.0,710.0,1.1,2.0
604.0,700.0,3.0,2.0
523.0,643.0,2.3,2.0
484.0,620.0,2.0,2.0
584.0,567.0,2.7,2.0
613.0,626.0,3.3,2.0
696.0,620.0,2.0,2.0
649.0,621.0,2.6,2.0
649.0,665.0,3.6,2.0
578.0,635.0,2.9,2.0
585.0,710.0,3.1,2.0
610.0,634.0,2.6,2.0
641.0,656.0,3.1,2.0
465.0,683.0,2.4,2.0
667.0,611.0,2.3,2.0
578.0,584.0,2.1,2.0
564.0,575.0,1.8,2.0
578.0,665.0,3.0,2.0
539.0,586.0,2.5,2.0
495.0,748.0,2.8,2.0
537.0,638.0,2.3,2.0
558.0,557.0,2.3,2.0
564.0,593.0,2.9,2.0
648.0,611.0,3.3,2.0
673.0,748.0,2.6,2.0
666.0,621.0,2.9,2.0
571.0,729.0,3.1,2.0
487.0,686.0,2.1,2.0
659.0,575.0,2.3,2.0
649.0,746.0,3.0,2.0
675.0,629.0,3.0,2.0
552.0,662.0,2.7,2.0
636.0,592.0,2.7,2.0
580.0,624.0,2.8,2.0
643.0,583.0,2.3,2.0
688.0,643.0,2.6,2.0
620.0,555.0,2.7,2.0
523.0,737.0,3.0,2.0
727.0,602.0,3.7,2.0
502.0,528.0,2.3,2.0
686.0,800.0,3.4,2.0
547.0,649.0,3.0,2.0
481.0,575.0,2.0,2.0
600.0,621.0,3.1,2.0
604.0,719.0,2.4,2.0
573.0,526.0,2.5,2.0
558.0,576.0,3.2,2.0
586.0,677.0,2.0,2.0
597.0,737.0,3.6,2.0
545.0,692.0,2.4,2.0
547.0,724.0,3.3,2.0
601.0,682.0,2.9,2.0
659.0,649.0,2.4,2.0
544.0,629.0,2.4,2.0
507.0,624.0,2.3,2.0
641.0,764.0,2.5,2.0
585.0,576.0,2.6,2.0
630.0,624.0,3.4,2.0
613.0,677.0,2.3,2.0
710.0,647.0,3.0,2.0
509.0,538.0,3.0,2.0
480.0,526.0,2.4,2.0
487.0,672.0,2.9,2.0
526.0,796.0,1.8,2.0
532.0,710.0,2.1,2.0
