TRIPID,YEAR,MONTH,DAY,NPASS,CLOUD8AM,RAIN8AM,VIS8AM,RAIN,NGWHAL,DURNAZ,DURNTOT,VIS,RGWHAL,LRGWHAL
16.0,1.0,6.0,30.0,63.0,0.0,0.0,5.0,0.0,1.0,108.0,159.0,10.0,0.009259259328246117,-3.949763298034668
17.0,1.0,8.0,10.0,58.0,4.0,0.0,10.0,0.0,3.0,104.0,156.0,10.0,0.028846153989434242,-3.2481462955474854
18.0,1.0,9.0,2.0,99.0,1.0,0.0,10.0,0.0,1.0,81.0,144.0,10.0,0.012345679104328156,-3.8011224269866943
19.0,1.0,8.0,3.0,81.0,2.0,1.0,1.0,0.0,0.0,72.0,132.0,1.0,0.0,-4.605170249938965
20.0,1.0,7.0,30.0,83.0,0.0,0.0,5.0,0.0,1.0,89.0,140.0,5.0,0.01123595517128706,-3.8520596027374268
21.0,1.0,7.0,22.0,72.0,2.0,1.0,1.0,0.0,1.0,83.0,143.0,5.0,0.012048192322254181,-3.8145246505737305
22.0,1.0,6.0,24.0,94.0,5.0,1.0,1.0,0.0,0.0,117.0,171.0,1.0,0.0,-4.605170249938965
23.0,1.0,7.0,1.0,77.0,3.0,0.0,5.0,0.0,2.0,93.0,163.0,10.0,0.02150537632405758,-3.457597017288208
24.0,1.0,7.0,6.0,65.0,0.0,0.0,1.0,0.0,0.0,60.0,129.0,1.0,0.0,-4.605170249938965
25.0,1.0,7.0,7.0,95.0,1.0,1.0,5.0,0.0,0.0,131.0,195.0,1.0,0.0,-4.605170249938965
26.0,1.0,7.0,22.0,69.0,2.0,0.0,10.0,0.0,2.0,143.0,202.0,10.0,0.0139860138297081,-3.7302844524383545
27.0,1.0,6.0,30.0,72.0,4.0,0.0,1.0,0.0,0.0,88.0,139.0,1.0,0.0,-4.605170249938965
28.0,1.0,7.0,22.0,95.0,4.0,0.0,5.0,1.0,4.0,124.0,184.0,5.0,0.032258063554763794,-3.1639602184295654
29.0,1.0,8.0,20.0,43.0,6.0,2.0,5.0,0.0,0.0,132.0,185.0,1.0,0.0,-4.605170249938965
30.0,1.0,7.0,15.0,74.0,2.0,0.0,1.0,0.0,0.0,116.0,185.0,5.0,0.0,-4.605170249938965
31.0,1.0,7.0,28.0,74.0,5.0,1.0,1.0,0.0,1.0,100.0,167.0,5.0,0.009999999776482582,-3.9120230674743652
32.0,1.0,5.0,31.0,78.0,1.0,2.0,0.5,0.0,0.0,86.0,165.0,0.10000000149011612,0.0,-4.605170249938965
33.0,1.0,6.0,28.0,81.0,0.0,0.0,1.0,0.0,0.0,144.0,209.0,1.0,0.0,-4.605170249938965
34.0,1.0,7.0,9.0,60.0,1.0,0.0,10.0,0.0,2.0,64.0,121.0,10.0,0.03125,-3.1881041526794434
35.0,1.0,8.0,15.0,89.0,6.0,1.0,1.0,1.0,0.0,95.0,165.0,0.5,0.0,-4.605170249938965
36.0,1.0,8.0,1.0,60.0,4.0,0.0,5.0,0.0,5.0,73.0,125.0,10.0,0.06849315017461777,-2.5447440147399902
37.0,1.0,7.0,1.0,32.0,4.0,0.0,1.0,1.0,0.0,132.0,200.0,1.0,0.0,-4.605170249938965
38.0,1.0,6.0,27.0,73.0,1.0,0.0,0.5,0.0,0.0,102.0,170.0,0.5,0.0,-4.605170249938965
39.0,1.0,7.0,7.0,38.0,7.0,2.0,0.10000000149011612,0.0,0.0,68.0,135.0,0.10000000149011612,0.0,-4.605170249938965
40.0,1.0,6.0,29.0,94.0,4.0,2.0,0.10000000149011612,1.0,0.0,79.0,163.0,0.10000000149011612,0.0,-4.605170249938965
41.0,1.0,6.0,31.0,52.0,1.0,1.0,1.0,1.0,1.0,138.0,198.0,5.0,0.007246376946568489,-4.060153007507324
42.0,1.0,6.0,13.0,67.0,0.0,0.0,5.0,0.0,2.0,81.0,147.0,10.0,0.02469135820865631,-3.361264705657959
43.0,1.0,7.0,20.0,86.0,8.0,3.0,0.10000000149011612,2.0,0.0,68.0,148.0,0.10000000149011612,0.0,-4.605170249938965
44.0,1.0,7.0,21.0,72.0,4.0,0.0,5.0,0.0,1.0,75.0,140.0,5.0,0.013333333656191826,-3.7578723430633545
45.0,1.0,7.0,6.0,80.0,0.0,0.0,5.0,0.0,2.0,89.0,154.0,5.0,0.02247191034257412,-3.427379846572876
46.0,1.0,8.0,18.0,89.0,4.0,2.0,5.0,0.0,0.0,141.0,206.0,1.0,0.0,-4.605170249938965
47.0,1.0,8.0,30.0,94.0,2.0,0.0,1.0,0.0,0.0,94.0,161.0,0.5,0.0,-4.605170249938965
48.0,1.0,7.0,2.0,28.0,1.0,0.0,5.0,0.0,1.0,103.0,171.0,10.0,0.009708737954497337,-3.9266932010650635
49.0,1.0,7.0,16.0,95.0,0.0,0.0,10.0,0.0,3.0,139.0,194.0,10.0,0.02158273383975029,-3.4551446437835693
50.0,1.0,6.0,14.0,27.0,2.0,0.0,10.0,0.0,1.0,108.0,163.0,10.0,0.009259259328246117,-3.949763298034668
51.0,1.0,6.0,19.0,44.0,1.0,0.0,5.0,0.0,1.0,85.0,138.0,10.0,0.0117647061124444,-3.827465534210205
52.0,1.0,7.0,8.0,83.0,5.0,0.0,5.0,0.0,13.0,125.0,180.0,10.0,0.10400000214576721,-2.1715567111968994
53.0,1.0,5.0,3.0,83.0,6.0,0.0,10.0,0.0,4.0,127.0,189.0,10.0,0.031496062874794006,-3.182156801223755
54.0,1.0,7.0,17.0,85.0,1.0,0.0,1.0,0.0,1.0,129.0,180.0,5.0,0.007751937955617905,-4.0312604904174805
55.0,1.0,7.0,16.0,34.0,1.0,0.0,5.0,0.0,0.0,91.0,160.0,5.0,0.0,-4.605170249938965
56.0,1.0,6.0,14.0,95.0,0.0,0.0,1.0,0.0,0.0,94.0,154.0,1.0,0.0,-4.605170249938965
57.0,1.0,7.0,3.0,81.0,7.0,1.0,1.0,2.0,3.0,72.0,146.0,5.0,0.0416666679084301,-2.962942361831665
58.0,1.0,7.0,28.0,35.0,1.0,0.0,10.0,0.0,5.0,132.0,197.0,5.0,0.03787878900766373,-3.0390827655792236
59.0,1.0,7.0,18.0,76.0,2.0,0.0,1.0,0.0,2.0,119.0,178.0,5.0,0.016806723549962044,-3.6191024780273438
60.0,1.0,6.0,12.0,55.0,2.0,2.0,0.5,2.0,0.0,103.0,166.0,1.0,0.0,-4.605170249938965
157.0,3.0,6.0,6.0,57.0,4.0,0.0,1.0,1.0,0.0,85.0,156.0,0.5,0.0,-4.605170249938965
158.0,3.0,7.0,26.0,82.0,1.0,0.0,10.0,0.0,3.0,105.0,157.0,10.0,0.02857142873108387,-3.2552435398101807
159.0,3.0,7.0,3.0,58.0,0.0,0.0,5.0,0.0,1.0,97.0,161.0,10.0,0.010309278033673763,-3.8966774940490723
160.0,3.0,8.0,31.0,59.0,5.0,0.0,10.0,1.0,3.0,144.0,215.0,10.0,0.02083333395421505,-3.479158878326416
161.0,3.0,6.0,12.0,66.0,0.0,0.0,5.0,0.0,7.0,143.0,196.0,10.0,0.04895104840397835,-2.831047773361206
162.0,3.0,7.0,26.0,90.0,8.0,1.0,0.10000000149011612,2.0,1.0,99.0,160.0,1.0,0.010101010091602802,-3.906985282897949
163.0,3.0,9.0,29.0,31.0,2.0,0.0,5.0,0.0,1.0,117.0,168.0,10.0,0.008547008968889713,-3.9874467849731445
164.0,3.0,6.0,28.0,38.0,1.0,0.0,0.5,0.0,0.0,129.0,189.0,0.10000000149011612,0.0,-4.605170249938965
165.0,3.0,6.0,28.0,51.0,1.0,0.0,10.0,0.0,12.0,105.0,166.0,10.0,0.11428571492433548,-2.085172176361084
166.0,3.0,7.0,12.0,74.0,2.0,0.0,10.0,0.0,1.0,64.0,134.0,10.0,0.015625,-3.664186954498291
167.0,3.0,6.0,17.0,89.0,1.0,0.0,5.0,0.0,2.0,142.0,192.0,10.0,0.014084506779909134,-3.726186513900757
168.0,3.0,5.0,27.0,43.0,4.0,0.0,1.0,0.0,0.0,77.0,129.0,1.0,0.0,-4.605170249938965
169.0,3.0,6.0,3.0,40.0,7.0,2.0,0.10000000149011612,1.0,0.0,115.0,183.0,0.10000000149011612,0.0,-4.605170249938965
170.0,3.0,5.0,26.0,33.0,4.0,0.0,0.5,0.0,0.0,70.0,147.0,0.10000000149011612,0.0,-4.605170249938965
171.0,3.0,7.0,14.0,74.0,1.0,0.0,10.0,0.0,0.0,71.0,127.0,10.0,0.0,-4.605170249938965
172.0,3.0,8.0,8.0,71.0,2.0,0.0,5.0,0.0,6.0,123.0,191.0,5.0,0.04878048598766327,-2.8339452743530273
173.0,3.0,9.0,3.0,41.0,0.0,0.0,5.0,0.0,0.0,85.0,147.0,5.0,0.0,-4.605170249938965
174.0,3.0,9.0,6.0,27.0,6.0,0.0,5.0,0.0,4.0,147.0,216.0,10.0,0.027210883796215057,-3.291154146194458
175.0,3.0,7.0,23.0,71.0,8.0,1.0,0.10000000149011612,1.0,0.0,63.0,143.0,0.10000000149011612,0.0,-4.605170249938965
176.0,3.0,6.0,20.0,42.0,0.0,0.0,1.0,0.0,1.0,121.0,178.0,1.0,0.00826446246355772,-4.002798080444336
177.0,3.0,7.0,20.0,69.0,4.0,0.0,1.0,0.0,0.0,66.0,120.0,1.0,0.0,-4.605170249938965
178.0,3.0,7.0,22.0,66.0,1.0,1.0,0.10000000149011612,1.0,0.0,108.0,181.0,0.10000000149011612,0.0,-4.605170249938965
179.0,3.0,7.0,8.0,30.0,5.0,1.0,0.10000000149011612,1.0,0.0,128.0,203.0,0.10000000149011612,0.0,-4.605170249938965
180.0,3.0,8.0,24.0,72.0,1.0,0.0,10.0,0.0,4.0,136.0,204.0,10.0,0.029411764815449715,-3.2336909770965576
181.0,3.0,6.0,6.0,100.0,1.0,0.0,10.0,0.0,1.0,110.0,165.0,10.0,0.00909090880304575,-3.958543062210083
182.0,3.0,6.0,7.0,81.0,3.0,0.0,5.0,0.0,2.0,138.0,193.0,10.0,0.014492753893136978,-3.7093780040740967
183.0,3.0,8.0,10.0,80.0,2.0,1.0,1.0,1.0,3.0,80.0,150.0,5.0,0.03750000149011612,-3.047025680541992
184.0,3.0,7.0,22.0,79.0,4.0,0.0,1.0,0.0,0.0,88.0,141.0,5.0,0.0,-4.605170249938965
185.0,3.0,7.0,23.0,86.0,3.0,0.0,5.0,0.0,1.0,129.0,189.0,5.0,0.007751937955617905,-4.0312604904174805
186.0,3.0,7.0,24.0,38.0,1.0,2.0,1.0,0.0,1.0,83.0,153.0,1.0,0.012048192322254181,-3.8145246505737305
187.0,3.0,7.0,28.0,100.0,1.0,2.0,0.10000000149011612,2.0,1.0,84.0,153.0,1.0,0.011904762126505375,-3.8210511207580566
188.0,3.0,8.0,8.0,78.0,8.0,1.0,1.0,0.0,0.0,111.0,182.0,1.0,0.0,-4.605170249938965
189.0,3.0,6.0,7.0,32.0,2.0,0.0,10.0,0.0,3.0,111.0,171.0,10.0,0.027027027681469917,-3.296107053756714
190.0,3.0,9.0,15.0,69.0,3.0,2.0,0.10000000149011612,1.0,0.0,122.0,188.0,0.10000000149011612,0.0,-4.605170249938965
191.0,3.0,5.0,31.0,89.0,7.0,3.0,0.10000000149011612,3.0,0.0,63.0,146.0,0.10000000149011612,0.0,-4.605170249938965
192.0,3.0,6.0,22.0,66.0,2.0,1.0,1.0,1.0,1.0,101.0,168.0,5.0,0.009900989942252636,-3.9169857501983643
193.0,3.0,6.0,24.0,46.0,0.0,0.0,1.0,0.0,0.0,76.0,141.0,0.10000000149011612,0.0,-4.605170249938965
194.0,3.0,7.0,10.0,75.0,1.0,0.0,10.0,0.0,1.0,107.0,164.0,5.0,0.009345794096589088,-3.9452803134918213
195.0,3.0,8.0,3.0,26.0,1.0,0.0,5.0,0.0,0.0,78.0,135.0,10.0,0.0,-4.605170249938965
196.0,3.0,9.0,17.0,81.0,2.0,0.0,5.0,0.0,0.0,125.0,193.0,1.0,0.0,-4.605170249938965
197.0,3.0,9.0,7.0,55.0,1.0,1.0,1.0,0.0,0.0,100.0,153.0,5.0,0.0,-4.605170249938965
198.0,3.0,8.0,2.0,92.0,0.0,0.0,10.0,0.0,0.0,106.0,168.0,10.0,0.0,-4.605170249938965
199.0,3.0,7.0,5.0,83.0,0.0,0.0,5.0,0.0,3.0,107.0,160.0,10.0,0.028037382289767265,-3.269185781478882
200.0,3.0,7.0,31.0,96.0,1.0,0.0,5.0,0.0,2.0,136.0,192.0,10.0,0.014705882407724857,-3.700713872909546
201.0,3.0,7.0,7.0,36.0,0.0,0.0,10.0,0.0,2.0,73.0,143.0,10.0,0.027397260069847107,-3.2861578464508057
202.0,3.0,6.0,28.0,32.0,0.0,0.0,10.0,0.0,5.0,129.0,190.0,10.0,0.03875968977808952,-3.0208513736724854
203.0,3.0,5.0,20.0,41.0,8.0,2.0,0.10000000149011612,3.0,0.0,128.0,210.0,0.10000000149011612,0.0,-4.605170249938965
204.0,3.0,8.0,17.0,98.0,3.0,1.0,10.0,0.0,1.0,138.0,191.0,5.0,0.007246376946568489,-4.060153007507324
205.0,3.0,6.0,14.0,71.0,6.0,1.0,1.0,0.0,1.0,100.0,150.0,5.0,0.009999999776482582,-3.9120230674743652
206.0,3.0,7.0,19.0,26.0,1.0,0.0,10.0,0.0,5.0,90.0,144.0,10.0,0.0555555559694767,-2.7248573303222656
207.0,3.0,7.0,2.0,97.0,1.0,0.0,10.0,0.0,1.0,92.0,149.0,10.0,0.010869565419852734,-3.8694634437561035
208.0,3.0,6.0,25.0,42.0,0.0,0.0,5.0,0.0,0.0,100.0,171.0,1.0,0.0,-4.605170249938965
209.0,3.0,6.0,27.0,26.0,1.0,0.0,10.0,0.0,1.0,142.0,212.0,10.0,0.007042253389954567,-4.072059631347656
210.0,3.0,6.0,9.0,81.0,0.0,0.0,10.0,0.0,3.0,147.0,199.0,10.0,0.020408162847161293,-3.493044137954712
211.0,3.0,7.0,15.0,39.0,6.0,0.0,10.0,0.0,7.0,101.0,164.0,10.0,0.06930693238973618,-2.5344297885894775
212.0,3.0,8.0,2.0,33.0,1.0,2.0,0.10000000149011612,0.0,0.0,75.0,148.0,0.10000000149011612,0.0,-4.605170249938965
213.0,3.0,6.0,24.0,77.0,0.0,0.0,10.0,0.0,0.0,116.0,166.0,10.0,0.0,-4.605170249938965
214.0,3.0,7.0,2.0,66.0,3.0,0.0,0.5,0.0,0.0,130.0,208.0,0.10000000149011612,0.0,-4.605170249938965
215.0,3.0,7.0,24.0,27.0,0.0,0.0,10.0,0.0,4.0,144.0,210.0,10.0,0.02777777798473835,-3.276034355163574
216.0,3.0,6.0,23.0,67.0,3.0,0.0,10.0,0.0,0.0,70.0,139.0,10.0,0.0,-4.605170249938965
217.0,3.0,7.0,22.0,54.0,4.0,0.0,10.0,0.0,14.0,91.0,144.0,10.0,0.1538461595773697,-1.80882728099823
218.0,3.0,6.0,15.0,77.0,4.0,1.0,1.0,0.0,1.0,81.0,149.0,5.0,0.012345679104328156,-3.8011224269866943
219.0,3.0,5.0,19.0,96.0,1.0,0.0,1.0,0.0,0.0,138.0,204.0,0.10000000149011612,0.0,-4.605170249938965
220.0,3.0,8.0,17.0,85.0,2.0,1.0,1.0,0.0,0.0,60.0,127.0,5.0,0.0,-4.605170249938965
221.0,3.0,7.0,14.0,27.0,6.0,0.0,1.0,1.0,0.0,133.0,193.0,0.5,0.0,-4.605170249938965
222.0,3.0,7.0,20.0,47.0,3.0,0.0,10.0,0.0,0.0,63.0,128.0,5.0,0.0,-4.605170249938965
223.0,3.0,7.0,3.0,55.0,5.0,1.0,10.0,0.0,2.0,67.0,126.0,5.0,0.02985074557363987,-3.222614288330078
224.0,3.0,5.0,9.0,88.0,1.0,0.0,1.0,0.0,0.0,87.0,140.0,5.0,0.0,-4.605170249938965
225.0,3.0,7.0,2.0,75.0,8.0,1.0,1.0,1.0,1.0,79.0,141.0,1.0,0.012658228166401386,-3.7872321605682373
226.0,3.0,7.0,24.0,52.0,8.0,2.0,1.0,1.0,0.0,121.0,179.0,1.0,0.0,-4.605170249938965
227.0,3.0,7.0,4.0,65.0,5.0,0.0,10.0,0.0,6.0,70.0,127.0,10.0,0.08571428805589676,-2.3463876247406006
228.0,3.0,6.0,23.0,75.0,1.0,2.0,1.0,2.0,1.0,133.0,195.0,1.0,0.007518797181546688,-4.044480800628662
229.0,3.0,7.0,6.0,28.0,0.0,0.0,10.0,0.0,2.0,133.0,189.0,5.0,0.015037594363093376,-3.6873767375946045
230.0,3.0,6.0,29.0,49.0,1.0,0.0,5.0,0.0,2.0,64.0,116.0,10.0,0.03125,-3.1881041526794434
231.0,3.0,9.0,24.0,73.0,5.0,0.0,5.0,0.0,0.0,90.0,142.0,10.0,0.0,-4.605170249938965
232.0,3.0,8.0,6.0,100.0,0.0,0.0,10.0,0.0,1.0,75.0,134.0,10.0,0.013333333656191826,-3.7578723430633545
61.0,2.0,7.0,5.0,98.0,1.0,0.0,5.0,0.0,3.0,61.0,119.0,10.0,0.04918032884597778,-2.8271660804748535
62.0,2.0,6.0,26.0,73.0,1.0,0.0,5.0,0.0,7.0,113.0,173.0,10.0,0.06194690242409706,-2.631826877593994
63.0,2.0,9.0,19.0,91.0,1.0,2.0,0.10000000149011612,0.0,0.0,140.0,206.0,0.10000000149011612,0.0,-4.605170249938965
64.0,2.0,6.0,8.0,42.0,1.0,0.0,5.0,0.0,3.0,99.0,164.0,10.0,0.03030303120613098,-3.2113287448883057
65.0,2.0,8.0,8.0,29.0,8.0,2.0,1.0,0.0,0.0,63.0,127.0,0.10000000149011612,0.0,-4.605170249938965
66.0,2.0,5.0,27.0,39.0,7.0,2.0,5.0,0.0,1.0,88.0,154.0,1.0,0.011363636702299118,-3.846065044403076
67.0,2.0,8.0,31.0,45.0,1.0,0.0,5.0,0.0,7.0,121.0,178.0,10.0,0.057851240038871765,-2.6904375553131104
68.0,2.0,7.0,5.0,35.0,1.0,2.0,0.5,1.0,2.0,132.0,207.0,1.0,0.01515151560306549,-3.6828372478485107
69.0,2.0,6.0,23.0,96.0,0.0,0.0,10.0,0.0,1.0,126.0,189.0,10.0,0.007936508394777775,-4.020916938781738
70.0,2.0,7.0,17.0,30.0,3.0,1.0,10.0,0.0,4.0,87.0,141.0,5.0,0.04597701132297516,-2.8828141689300537
71.0,2.0,8.0,3.0,52.0,6.0,0.0,10.0,1.0,2.0,71.0,142.0,10.0,0.028169013559818268,-3.2657313346862793
72.0,2.0,8.0,25.0,97.0,8.0,2.0,1.0,0.0,0.0,129.0,192.0,0.10000000149011612,0.0,-4.605170249938965
73.0,2.0,6.0,17.0,28.0,1.0,0.0,5.0,0.0,0.0,83.0,149.0,1.0,0.0,-4.605170249938965
74.0,2.0,7.0,2.0,54.0,1.0,0.0,5.0,0.0,1.0,83.0,151.0,10.0,0.012048192322254181,-3.8145246505737305
75.0,2.0,8.0,11.0,97.0,6.0,1.0,1.0,2.0,12.0,112.0,188.0,5.0,0.1071428582072258,-2.1443610191345215
76.0,2.0,6.0,3.0,74.0,0.0,0.0,10.0,0.0,4.0,145.0,210.0,10.0,0.027586206793785095,-3.281118154525757
77.0,2.0,6.0,3.0,52.0,4.0,0.0,0.5,0.0,1.0,72.0,124.0,0.5,0.013888888992369175,-3.734341859817505
78.0,2.0,7.0,13.0,31.0,3.0,0.0,10.0,0.0,1.0,130.0,192.0,10.0,0.007692307699471712,-4.03462553024292
79.0,2.0,8.0,7.0,87.0,1.0,0.0,10.0,0.0,7.0,86.0,145.0,10.0,0.08139535039663315,-2.3925607204437256
80.0,2.0,7.0,8.0,38.0,0.0,0.0,10.0,0.0,17.0,83.0,148.0,10.0,0.20481927692890167,-1.5379581451416016
81.0,2.0,8.0,25.0,95.0,1.0,0.0,10.0,0.0,2.0,69.0,137.0,10.0,0.028985507786273956,-3.24456524848938
82.0,2.0,8.0,7.0,39.0,0.0,0.0,0.5,0.0,0.0,145.0,214.0,0.5,0.0,-4.605170249938965
83.0,2.0,8.0,17.0,32.0,2.0,1.0,0.5,0.0,0.0,109.0,168.0,0.5,0.0,-4.605170249938965
84.0,2.0,8.0,1.0,80.0,0.0,0.0,10.0,0.0,3.0,124.0,193.0,10.0,0.024193547666072845,-3.375718355178833
85.0,2.0,8.0,11.0,100.0,0.0,0.0,5.0,0.0,1.0,105.0,174.0,10.0,0.009523809887468815,-3.9361205101013184
86.0,2.0,6.0,14.0,55.0,1.0,2.0,0.10000000149011612,1.0,0.0,138.0,209.0,0.10000000149011612,0.0,-4.605170249938965
87.0,2.0,8.0,31.0,70.0,0.0,0.0,10.0,0.0,0.0,95.0,154.0,5.0,0.0,-4.605170249938965
88.0,2.0,8.0,30.0,82.0,0.0,0.0,5.0,0.0,0.0,135.0,201.0,1.0,0.0,-4.605170249938965
89.0,2.0,6.0,24.0,84.0,1.0,1.0,10.0,0.0,2.0,67.0,132.0,5.0,0.02985074557363987,-3.222614288330078
90.0,2.0,7.0,16.0,85.0,0.0,0.0,10.0,0.0,1.0,110.0,167.0,10.0,0.00909090880304575,-3.958543062210083
91.0,2.0,7.0,20.0,82.0,0.0,0.0,10.0,0.0,11.0,77.0,131.0,10.0,0.1428571492433548,-1.8782514333724976
92.0,2.0,6.0,24.0,74.0,3.0,0.0,1.0,0.0,0.0,127.0,189.0,1.0,0.0,-4.605170249938965
93.0,2.0,7.0,24.0,39.0,3.0,0.0,10.0,0.0,20.0,113.0,180.0,10.0,0.17699114978313446,-1.6766939163208008
94.0,2.0,8.0,24.0,30.0,3.0,2.0,0.10000000149011612,1.0,0.0,80.0,152.0,0.10000000149011612,0.0,-4.605170249938965
95.0,2.0,6.0,15.0,50.0,4.0,0.0,1.0,0.0,0.0,64.0,119.0,1.0,0.0,-4.605170249938965
96.0,2.0,7.0,22.0,31.0,3.0,0.0,10.0,0.0,6.0,81.0,133.0,10.0,0.07407407462596893,-2.4760570526123047
97.0,2.0,8.0,13.0,98.0,2.0,0.0,1.0,0.0,0.0,140.0,201.0,0.5,0.0,-4.605170249938965
98.0,2.0,7.0,21.0,56.0,0.0,0.0,10.0,0.0,3.0,75.0,125.0,10.0,0.03999999910593033,-2.995732307434082
99.0,2.0,8.0,25.0,94.0,5.0,2.0,1.0,0.0,0.0,93.0,152.0,1.0,0.0,-4.605170249938965
100.0,2.0,6.0,8.0,33.0,2.0,0.0,10.0,0.0,11.0,117.0,184.0,10.0,0.09401709586381912,-2.263200044631958
101.0,2.0,8.0,22.0,82.0,5.0,1.0,1.0,0.0,1.0,129.0,200.0,1.0,0.007751937955617905,-4.0312604904174805
102.0,2.0,7.0,28.0,99.0,3.0,1.0,5.0,0.0,1.0,101.0,172.0,1.0,0.009900989942252636,-3.9169857501983643
103.0,2.0,7.0,2.0,61.0,1.0,0.0,10.0,0.0,4.0,81.0,149.0,5.0,0.04938271641731262,-2.8237521648406982
104.0,2.0,9.0,16.0,74.0,1.0,0.0,1.0,0.0,0.0,70.0,132.0,0.5,0.0,-4.605170249938965
105.0,2.0,7.0,12.0,75.0,1.0,0.0,5.0,0.0,1.0,95.0,153.0,10.0,0.010526316240429878,-3.886047601699829
106.0,2.0,8.0,2.0,95.0,0.0,0.0,10.0,0.0,2.0,144.0,200.0,10.0,0.013888888992369175,-3.734341859817505
107.0,2.0,6.0,8.0,87.0,4.0,1.0,1.0,1.0,1.0,86.0,147.0,5.0,0.011627906933426857,-3.833770751953125
108.0,2.0,7.0,18.0,42.0,1.0,0.0,5.0,0.0,0.0,132.0,186.0,1.0,0.0,-4.605170249938965
109.0,2.0,6.0,26.0,97.0,8.0,2.0,0.10000000149011612,3.0,0.0,136.0,227.0,0.10000000149011612,0.0,-4.605170249938965
110.0,2.0,8.0,29.0,66.0,0.0,0.0,5.0,0.0,7.0,133.0,186.0,10.0,0.05263157933950424,-2.7704856395721436
111.0,2.0,5.0,26.0,58.0,1.0,1.0,5.0,1.0,9.0,130.0,200.0,5.0,0.06923077255487442,-2.535390615463257
112.0,2.0,7.0,15.0,56.0,7.0,1.0,0.10000000149011612,2.0,0.0,72.0,145.0,1.0,0.0,-4.605170249938965
113.0,2.0,6.0,18.0,41.0,1.0,0.0,1.0,0.0,2.0,67.0,135.0,5.0,0.02985074557363987,-3.222614288330078
114.0,2.0,7.0,16.0,93.0,1.0,0.0,10.0,0.0,1.0,75.0,138.0,10.0,0.013333333656191826,-3.7578723430633545
115.0,2.0,6.0,19.0,68.0,5.0,2.0,1.0,0.0,0.0,113.0,171.0,1.0,0.0,-4.605170249938965
116.0,2.0,7.0,17.0,73.0,3.0,1.0,10.0,0.0,6.0,149.0,214.0,5.0,0.04026845470070839,-2.990377426147461
117.0,2.0,5.0,26.0,58.0,4.0,0.0,10.0,0.0,14.0,140.0,205.0,10.0,0.10000000149011612,-2.207274913787842
118.0,2.0,7.0,4.0,75.0,0.0,0.0,10.0,0.0,12.0,143.0,201.0,10.0,0.0839160829782486,-2.365353584289551
119.0,2.0,6.0,30.0,52.0,4.0,0.0,10.0,0.0,1.0,82.0,139.0,10.0,0.012195121496915817,-3.807882785797119
120.0,2.0,7.0,3.0,67.0,2.0,2.0,0.5,0.0,0.0,69.0,123.0,0.5,0.0,-4.605170249938965
121.0,2.0,7.0,10.0,60.0,1.0,0.0,10.0,0.0,1.0,88.0,154.0,10.0,0.011363636702299118,-3.846065044403076
122.0,2.0,7.0,29.0,25.0,7.0,1.0,1.0,1.0,0.0,79.0,149.0,1.0,0.0,-4.605170249938965
123.0,2.0,7.0,5.0,98.0,0.0,0.0,5.0,0.0,1.0,142.0,213.0,1.0,0.007042253389954567,-4.072059631347656
