familyid,child_age,child_gender,child_warmth,child_anger,mum_pos,mum_neg,chaos,sdq
230.0,68.0,1.0,6.0,2.5,43.0,7.0,1.5833333333333333,1.2
231.0,65.0,0.0,5.166666666666667,5.666666666666667,43.0,12.0,3.583333333333333,1.1400000000000001
232.0,68.0,1.0,6.0,2.0,38.0,13.0,2.3333333333333335,1.2400000000000002
233.0,67.0,1.0,6.0,3.0,46.0,10.0,2.5,1.04
234.0,59.0,0.0,6.0,4.0,41.0,9.0,2.0,1.4
235.0,66.0,1.0,,,31.0,10.0,,
236.0,68.0,1.0,6.0,3.1666666666666665,43.0,8.0,1.9166666666666665,1.12
237.0,73.0,1.0,6.166666666666667,2.5,41.0,10.0,2.25,1.1400000000000001
238.0,73.0,1.0,5.333333333333333,5.333333333333333,38.0,18.0,2.583333333333333,1.52
239.0,66.0,0.0,,,42.0,16.25,,
240.0,81.0,1.0,6.0,2.6666666666666665,45.0,12.0,1.9166666666666665,1.2
241.0,52.0,0.0,6.0,2.8333333333333335,41.0,13.0,2.666666666666667,1.38
242.0,57.0,1.0,6.0,5.5,39.0,10.0,2.583333333333333,1.48
243.0,50.0,0.0,5.166666666666667,6.166666666666667,43.0,13.0,2.833333333333333,1.2999999999999998
244.0,63.0,1.0,6.0,2.6666666666666665,44.0,10.0,2.0833333333333335,1.2000000000000002
245.0,53.0,0.0,,,45.0,12.0,2.75,1.24
246.0,53.0,1.0,6.0,2.0,46.0,12.0,2.0,1.2000000000000002
247.0,61.0,0.0,5.333333333333333,3.3333333333333335,40.0,11.0,2.5,1.24
248.0,63.0,0.0,6.0,2.0,40.0,10.0,2.5,1.04
249.0,60.0,1.0,,,39.0,12.0,2.3333333333333335,1.2
250.0,60.0,0.0,6.0,3.3333333333333335,37.0,13.0,2.5,1.24
251.0,79.0,0.0,5.833333333333333,2.0,39.0,18.0,3.0,1.1600000000000001
252.0,54.0,0.0,3.3333333333333335,2.8333333333333335,37.0,18.0,2.25,1.6400000000000001
253.0,66.0,0.0,5.333333333333333,3.1666666666666665,,,2.083333333333333,1.2
254.0,52.0,1.0,3.3333333333333335,4.666666666666667,43.0,12.0,2.583333333333333,1.32
255.0,62.0,0.0,5.166666666666667,3.5,40.0,14.0,2.166666666666667,1.18
256.0,46.0,1.0,5.333333333333333,3.6666666666666665,42.0,13.0,2.5,1.2799999999999998
257.0,62.0,1.0,5.5,3.3333333333333335,39.0,10.0,2.583333333333333,1.1400000000000001
258.0,63.0,0.0,,,45.0,13.0,,
259.0,67.0,1.0,5.333333333333333,5.5,43.0,11.0,2.1666666666666665,1.3399999999999999
260.0,60.0,0.0,5.333333333333333,2.0,40.0,12.0,2.75,1.28
261.0,65.0,0.0,6.166666666666667,2.6666666666666665,41.0,18.0,1.5,1.12
262.0,54.0,0.0,4.0,2.8,42.0,23.0,3.25,1.1400000000000001
263.0,61.0,0.0,,,47.0,8.0,3.583333333333333,1.3599999999999999
264.0,74.0,1.0,4.666666666666667,3.6666666666666665,35.0,15.0,3.5,2.1399999999999997
265.0,66.0,0.0,6.0,3.0,42.0,16.0,1.9166666666666665,1.4408695652173913
266.0,77.0,1.0,,,38.0,10.0,,
267.0,74.0,1.0,6.0,,41.0,13.0,,
268.0,70.0,0.0,6.0,2.1666666666666665,43.0,9.0,2.5,1.26
269.0,69.0,1.0,5.333333333333333,2.3333333333333335,42.0,11.0,2.916666666666667,1.2999999999999998
270.0,68.0,1.0,5.333333333333333,2.0,38.0,13.0,2.833333333333333,1.44
271.0,79.0,0.0,6.0,2.6666666666666665,46.0,9.0,1.9166666666666665,1.36
272.0,61.0,0.0,,,42.0,10.0,3.0,1.52
273.0,65.0,1.0,5.333333333333333,2.0,41.0,17.0,2.6666666666666665,1.2999999999999998
274.0,69.0,1.0,2.6666666666666665,3.5,42.0,15.0,2.333333333333333,1.1800000000000002
275.0,68.0,0.0,,,45.0,10.0,,
276.0,60.0,0.0,6.166666666666667,3.1666666666666665,37.0,13.0,2.25,1.1600000000000001
277.0,71.0,0.0,6.0,4.666666666666667,42.0,13.0,2.4166666666666665,1.2999999999999998
278.0,68.0,1.0,5.166666666666667,3.3333333333333335,44.0,14.0,1.5833333333333335,1.6
279.0,60.0,0.0,6.0,3.3333333333333335,42.5,11.0,1.25,1.22
280.0,62.0,0.0,6.0,2.1666666666666665,44.0,15.0,1.75,1.5091666666666668
281.0,71.0,0.0,6.166666666666667,3.1666666666666665,39.0,14.0,3.0833333333333335,1.44
282.0,82.0,1.0,4.666666666666667,3.3333333333333335,36.0,10.0,2.0,1.2
283.0,59.0,1.0,,,37.77777777777778,7.0,2.5,1.4
284.0,74.0,0.0,5.5,4.0,38.0,10.0,1.75,1.2
285.0,68.0,0.0,5.166666666666667,4.5,39.0,10.0,1.9166666666666665,1.1400000000000001
286.0,74.0,0.0,5.8,3.3333333333333335,44.0,16.0,2.25,1.18
287.0,67.0,0.0,5.333333333333333,3.0,44.0,16.0,2.75,1.1400000000000001
288.0,61.0,1.0,3.3333333333333335,5.166666666666667,44.0,11.0,3.333333333333333,1.5133333333333334
289.0,68.0,1.0,5.333333333333333,1.8333333333333333,37.0,14.0,2.5833333333333335,1.6400000000000001
290.0,72.0,0.0,6.166666666666667,3.6,44.0,13.0,2.25,1.48
291.0,62.0,0.0,3.5,4.0,38.0,18.0,2.666666666666667,1.4
292.0,78.0,0.0,6.0,2.5,46.0,11.0,2.916666666666667,1.46
293.0,80.0,1.0,5.833333333333333,4.0,45.0,13.0,2.166666666666667,1.2000000000000002
294.0,62.0,1.0,5.5,5.0,48.0,8.0,2.583333333333333,1.2200000000000002
295.0,67.0,0.0,5.166666666666667,4.5,37.0,11.0,3.0,1.28
296.0,61.0,0.0,6.0,2.8,47.0,10.0,2.6666666666666665,1.3599999999999999
297.0,62.0,1.0,6.2,2.6,40.0,11.0,2.6666666666666665,1.44
298.0,59.0,1.0,6.0,3.3333333333333335,40.0,10.0,1.6666666666666667,1.08
299.0,60.0,1.0,6.0,3.8333333333333335,43.33333333333333,10.0,2.0,1.3599999999999999
2001.0,59.0,1.0,3.8333333333333335,2.8,43.0,15.0,1.8333333333333335,1.24
2002.0,55.0,1.0,5.333333333333333,2.6666666666666665,41.0,12.0,1.8333333333333333,1.08
2003.0,64.0,1.0,4.666666666666667,2.0,46.0,5.0,2.583333333333333,1.12
2004.0,52.0,0.0,6.0,4.5,40.0,13.0,2.5,1.1400000000000001
2005.0,54.0,1.0,5.333333333333333,5.5,42.0,16.0,2.666666666666667,1.26
2006.0,70.0,1.0,5.333333333333333,3.5,42.0,7.0,2.583333333333333,1.1
2007.0,57.0,1.0,6.0,2.0,44.0,9.0,2.083333333333333,1.38
2008.0,61.0,1.0,,,43.0,13.0,,
2009.0,53.0,1.0,5.333333333333333,5.166666666666667,43.0,15.0,2.9166666666666665,1.46
2010.0,54.0,1.0,,,37.0,9.0,2.166666666666667,1.1
2011.0,56.0,1.0,5.0,3.8333333333333335,41.0,11.0,2.1666666666666665,1.2
2012.0,55.0,1.0,5.2,,43.0,8.0,2.833333333333333,1.46
2013.0,56.0,0.0,5.833333333333333,2.6,42.0,13.0,3.5,1.28
2014.0,54.0,1.0,6.0,4.0,45.0,16.0,2.9166666666666665,1.56
2015.0,72.0,0.0,5.333333333333333,2.6666666666666665,37.0,13.0,3.083333333333333,1.38
2016.0,53.0,1.0,6.0,2.5,41.0,14.0,1.8333333333333335,1.28
2017.0,59.0,0.0,6.0,2.0,39.0,11.0,2.0,1.42
2019.0,54.0,1.0,6.0,2.0,44.0,18.0,2.5,1.44
2020.0,66.0,0.0,6.0,2.0,42.0,10.0,2.6666666666666665,1.08
