ID,Strategy,Success_Pre,Success_Post
81.0,1.0,51.0,80.0
82.0,1.0,36.0,80.0
83.0,1.0,58.0,82.0
84.0,1.0,54.0,53.0
85.0,1.0,52.0,93.0
86.0,1.0,50.0,91.0
87.0,1.0,23.0,79.0
88.0,1.0,52.0,71.0
89.0,1.0,65.0,71.0
90.0,1.0,54.0,36.0
91.0,1.0,40.0,68.0
92.0,1.0,77.0,98.0
93.0,1.0,51.0,87.0
94.0,1.0,39.0,2.0
95.0,1.0,39.0,79.0
96.0,1.0,48.0,86.0
97.0,1.0,42.0,88.0
98.0,1.0,39.0,90.0
99.0,1.0,48.0,65.0
100.0,1.0,48.0,94.0
101.0,1.0,44.0,39.0
102.0,1.0,55.0,66.0
103.0,1.0,67.0,30.0
104.0,1.0,44.0,45.0
105.0,1.0,39.0,93.0
106.0,1.0,48.0,60.0
107.0,1.0,59.0,44.0
108.0,1.0,60.0,70.0
109.0,1.0,66.0,63.0
110.0,1.0,50.0,49.0
111.0,1.0,50.0,88.0
112.0,1.0,48.0,91.0
113.0,1.0,64.0,46.0
114.0,1.0,52.0,90.0
115.0,1.0,45.0,50.0
116.0,1.0,55.0,46.0
117.0,1.0,33.0,38.0
118.0,1.0,53.0,83.0
119.0,1.0,45.0,82.0
120.0,1.0,51.0,53.0
121.0,1.0,54.0,52.0
122.0,1.0,57.0,62.0
123.0,1.0,57.0,57.0
124.0,1.0,46.0,94.0
125.0,1.0,42.0,90.0
126.0,0.0,37.0,58.0
127.0,0.0,45.0,39.0
128.0,0.0,56.0,28.0
129.0,0.0,78.0,46.0
130.0,0.0,52.0,61.0
131.0,0.0,42.0,69.0
132.0,0.0,42.0,62.0
133.0,0.0,51.0,50.0
134.0,0.0,51.0,37.0
135.0,0.0,45.0,45.0
136.0,0.0,61.0,38.0
137.0,0.0,46.0,46.0
138.0,0.0,39.0,57.0
139.0,0.0,42.0,57.0
140.0,0.0,52.0,28.0
141.0,0.0,57.0,59.0
142.0,0.0,32.0,57.0
143.0,0.0,52.0,45.0
144.0,0.0,69.0,55.0
145.0,0.0,46.0,41.0
146.0,0.0,56.0,54.0
147.0,0.0,52.0,36.0
148.0,0.0,50.0,47.0
149.0,0.0,38.0,51.0
150.0,0.0,63.0,39.0
151.0,0.0,52.0,42.0
152.0,0.0,59.0,49.0
153.0,0.0,66.0,53.0
154.0,0.0,46.0,47.0
155.0,0.0,38.0,41.0
156.0,0.0,52.0,32.0
157.0,0.0,45.0,26.0
158.0,0.0,47.0,41.0
159.0,0.0,60.0,45.0
160.0,0.0,56.0,45.0
161.0,0.0,63.0,46.0
162.0,0.0,47.0,60.0
163.0,0.0,45.0,61.0
164.0,0.0,50.0,51.0
165.0,0.0,52.0,48.0
166.0,0.0,62.0,33.0
167.0,0.0,63.0,48.0
168.0,0.0,52.0,56.0
169.0,0.0,52.0,42.0
170.0,0.0,54.0,54.0
171.0,0.0,49.0,68.0
172.0,0.0,58.0,31.0
173.0,0.0,76.0,44.0
174.0,0.0,60.0,40.0
175.0,0.0,43.0,47.0
176.0,0.0,29.0,48.0
177.0,0.0,43.0,45.0
178.0,0.0,52.0,65.0
179.0,0.0,37.0,45.0
180.0,0.0,40.0,55.0
181.0,0.0,62.0,46.0
182.0,0.0,47.0,56.0
183.0,0.0,65.0,58.0
184.0,0.0,53.0,59.0
185.0,0.0,35.0,56.0
186.0,0.0,54.0,42.0
187.0,0.0,63.0,58.0
188.0,0.0,52.0,51.0
189.0,0.0,51.0,44.0
190.0,0.0,50.0,35.0
191.0,0.0,38.0,55.0
192.0,0.0,39.0,56.0
193.0,0.0,45.0,48.0
194.0,0.0,45.0,53.0
195.0,0.0,45.0,51.0
196.0,0.0,47.0,44.0
197.0,0.0,49.0,42.0
198.0,0.0,43.0,46.0
199.0,0.0,46.0,52.0
200.0,0.0,35.0,45.0
201.0,0.0,48.0,52.0
202.0,0.0,55.0,53.0
203.0,0.0,55.0,41.0
204.0,0.0,63.0,80.0
205.0,0.0,61.0,62.0
206.0,0.0,41.0,48.0
207.0,0.0,63.0,37.0
208.0,0.0,39.0,53.0
209.0,0.0,50.0,55.0
210.0,0.0,69.0,60.0
211.0,0.0,54.0,56.0
212.0,0.0,44.0,59.0
213.0,0.0,46.0,50.0
214.0,0.0,51.0,47.0
215.0,0.0,54.0,46.0
216.0,0.0,60.0,58.0
217.0,0.0,45.0,44.0
218.0,0.0,44.0,68.0
219.0,0.0,47.0,45.0
220.0,0.0,50.0,65.0
221.0,0.0,43.0,56.0
222.0,0.0,49.0,55.0
223.0,0.0,55.0,50.0
224.0,0.0,56.0,52.0
225.0,0.0,61.0,46.0
226.0,0.0,56.0,32.0
227.0,0.0,58.0,41.0
228.0,0.0,62.0,50.0
229.0,0.0,29.0,94.0
230.0,0.0,43.0,39.0
231.0,0.0,39.0,47.0
232.0,0.0,58.0,69.0
233.0,0.0,43.0,53.0
234.0,0.0,51.0,47.0
235.0,0.0,46.0,42.0
236.0,0.0,37.0,43.0
237.0,0.0,54.0,48.0
238.0,0.0,62.0,43.0
239.0,0.0,52.0,45.0
240.0,0.0,55.0,40.0
241.0,0.0,26.0,64.0
242.0,0.0,45.0,58.0
243.0,0.0,45.0,59.0
244.0,0.0,42.0,49.0
245.0,0.0,39.0,51.0
246.0,0.0,40.0,38.0
247.0,0.0,54.0,45.0
248.0,0.0,54.0,59.0
249.0,0.0,41.0,55.0
250.0,0.0,39.0,48.0
