ID,Contraceptive,Cyclephase,Tips
55.0,1.0,2.0,400.0
55.0,1.0,2.0,440.0
55.0,1.0,,480.0
55.0,1.0,2.0,550.0
56.0,0.0,1.0,120.0
56.0,0.0,2.0,200.0
56.0,0.0,1.0,200.0
56.0,0.0,1.0,200.0
56.0,0.0,1.0,200.0
56.0,0.0,,210.0
56.0,0.0,0.0,240.0
56.0,0.0,,240.0
56.0,0.0,0.0,280.0
56.0,0.0,,280.0
56.0,0.0,0.0,290.0
56.0,0.0,2.0,300.0
56.0,0.0,2.0,300.0
56.0,0.0,0.0,310.0
56.0,0.0,0.0,400.0
56.0,0.0,0.0,400.0
57.0,1.0,1.0,80.0
57.0,1.0,0.0,100.0
57.0,1.0,1.0,150.0
57.0,1.0,1.0,180.0
57.0,1.0,,180.0
57.0,1.0,1.0,190.0
57.0,1.0,0.0,200.0
57.0,1.0,1.0,280.0
57.0,1.0,2.0,300.0
57.0,1.0,2.0,300.0
57.0,1.0,0.0,300.0
57.0,1.0,0.0,300.0
57.0,1.0,,300.0
57.0,1.0,1.0,310.0
57.0,1.0,0.0,320.0
57.0,1.0,,320.0
57.0,1.0,,320.0
57.0,1.0,0.0,330.0
57.0,1.0,,330.0
57.0,1.0,0.0,350.0
57.0,1.0,2.0,400.0
57.0,1.0,2.0,400.0
57.0,1.0,2.0,400.0
57.0,1.0,0.0,400.0
57.0,1.0,0.0,420.0
57.0,1.0,0.0,420.0
57.0,1.0,2.0,500.0
57.0,1.0,2.0,520.0
57.0,1.0,2.0,550.0
58.0,0.0,1.0,80.0
58.0,0.0,2.0,100.0
58.0,0.0,1.0,100.0
58.0,0.0,0.0,100.0
58.0,0.0,,180.0
58.0,0.0,2.0,200.0
58.0,0.0,2.0,200.0
58.0,0.0,2.0,200.0
58.0,0.0,0.0,200.0
58.0,0.0,0.0,200.0
58.0,0.0,,200.0
58.0,0.0,2.0,280.0
58.0,0.0,0.0,280.0
59.0,0.0,2.0,100.0
59.0,0.0,1.0,100.0
59.0,0.0,0.0,150.0
59.0,0.0,2.0,180.0
59.0,0.0,,190.0
59.0,0.0,,190.0
59.0,0.0,2.0,200.0
59.0,0.0,2.0,200.0
59.0,0.0,2.0,310.0
60.0,1.0,,150.0
60.0,1.0,0.0,200.0
60.0,1.0,,200.0
60.0,1.0,1.0,210.0
60.0,1.0,0.0,250.0
60.0,1.0,0.0,250.0
60.0,1.0,1.0,280.0
60.0,1.0,1.0,300.0
60.0,1.0,0.0,300.0
60.0,1.0,2.0,310.0
60.0,1.0,0.0,310.0
60.0,1.0,0.0,320.0
60.0,1.0,,350.0
60.0,1.0,2.0,360.0
60.0,1.0,2.0,390.0
60.0,1.0,2.0,500.0
60.0,1.0,2.0,500.0
61.0,1.0,0.0,100.0
61.0,1.0,1.0,110.0
61.0,1.0,0.0,110.0
61.0,1.0,0.0,180.0
61.0,1.0,0.0,200.0
61.0,1.0,,200.0
61.0,1.0,,200.0
61.0,1.0,1.0,210.0
61.0,1.0,0.0,210.0
61.0,1.0,2.0,220.0
61.0,1.0,0.0,220.0
61.0,1.0,1.0,250.0
61.0,1.0,2.0,290.0
61.0,1.0,2.0,300.0
61.0,1.0,2.0,300.0
61.0,1.0,2.0,400.0
62.0,0.0,2.0,100.0
62.0,0.0,1.0,100.0
62.0,0.0,0.0,100.0
62.0,0.0,0.0,100.0
62.0,0.0,0.0,110.0
62.0,0.0,1.0,140.0
62.0,0.0,2.0,190.0
62.0,0.0,2.0,200.0
62.0,0.0,1.0,200.0
62.0,0.0,0.0,200.0
62.0,0.0,,200.0
62.0,0.0,,200.0
62.0,0.0,2.0,220.0
65.0,1.0,1.0,100.0
65.0,1.0,1.0,100.0
65.0,1.0,0.0,100.0
65.0,1.0,1.0,110.0
65.0,1.0,1.0,140.0
65.0,1.0,0.0,150.0
65.0,1.0,1.0,180.0
65.0,1.0,0.0,180.0
65.0,1.0,0.0,190.0
65.0,1.0,2.0,200.0
65.0,1.0,,200.0
65.0,1.0,2.0,220.0
65.0,1.0,2.0,300.0
65.0,1.0,0.0,500.0
67.0,0.0,1.0,100.0
67.0,0.0,1.0,110.0
67.0,0.0,0.0,110.0
67.0,0.0,0.0,110.0
67.0,0.0,1.0,120.0
67.0,0.0,0.0,130.0
67.0,0.0,,150.0
67.0,0.0,2.0,190.0
67.0,0.0,,190.0
67.0,0.0,2.0,200.0
67.0,0.0,2.0,200.0
67.0,0.0,2.0,200.0
67.0,0.0,0.0,200.0
67.0,0.0,,200.0
68.0,1.0,1.0,100.0
68.0,1.0,1.0,100.0
68.0,1.0,0.0,110.0
68.0,1.0,1.0,185.0
68.0,1.0,1.0,190.0
68.0,1.0,1.0,200.0
68.0,1.0,0.0,200.0
68.0,1.0,0.0,200.0
68.0,1.0,0.0,200.0
68.0,1.0,,200.0
68.0,1.0,2.0,230.0
68.0,1.0,2.0,320.0
68.0,1.0,2.0,350.0
68.0,1.0,2.0,380.0
68.0,1.0,2.0,410.0
68.0,1.0,2.0,420.0
73.0,0.0,,100.0
73.0,0.0,,160.0
73.0,0.0,2.0,180.0
73.0,0.0,1.0,180.0
73.0,0.0,2.0,200.0
73.0,0.0,0.0,200.0
73.0,0.0,0.0,200.0
73.0,0.0,0.0,200.0
73.0,0.0,2.0,210.0
73.0,0.0,,250.0
73.0,0.0,2.0,280.0
73.0,0.0,0.0,420.0
73.0,0.0,2.0,450.0
74.0,1.0,1.0,180.0
74.0,1.0,0.0,200.0
74.0,1.0,0.0,290.0
74.0,1.0,2.0,300.0
74.0,1.0,1.0,300.0
74.0,1.0,,300.0
74.0,1.0,2.0,320.0
74.0,1.0,2.0,380.0
74.0,1.0,2.0,390.0
74.0,1.0,,400.0
74.0,1.0,2.0,490.0
74.0,1.0,2.0,510.0
74.0,1.0,0.0,600.0
74.0,1.0,2.0,630.0
75.0,1.0,1.0,200.0
75.0,1.0,0.0,220.0
75.0,1.0,1.0,300.0
75.0,1.0,,300.0
75.0,1.0,2.0,310.0
75.0,1.0,2.0,310.0
75.0,1.0,,310.0
75.0,1.0,2.0,400.0
75.0,1.0,2.0,410.0
75.0,1.0,2.0,500.0
75.0,1.0,2.0,600.0
75.0,1.0,0.0,900.0
75.0,1.0,2.0,1000.0
