Person,Sex,Time,Life_Satisfaction
57.0,1.0,3.0,9.0
58.0,0.0,0.0,5.0
58.0,0.0,1.0,4.0
58.0,0.0,2.0,5.0
58.0,0.0,3.0,1.0
59.0,1.0,0.0,8.0
59.0,1.0,1.0,8.0
59.0,1.0,2.0,9.0
59.0,1.0,3.0,4.0
60.0,1.0,0.0,5.0
60.0,1.0,1.0,6.0
60.0,1.0,2.0,7.0
60.0,1.0,3.0,1.0
61.0,0.0,0.0,7.0
61.0,0.0,1.0,10.0
61.0,0.0,2.0,10.0
61.0,0.0,3.0,4.0
62.0,1.0,0.0,8.0
62.0,1.0,1.0,9.0
62.0,1.0,2.0,8.0
62.0,1.0,3.0,8.0
63.0,1.0,0.0,8.0
63.0,1.0,1.0,9.0
63.0,1.0,2.0,7.0
63.0,1.0,3.0,4.0
64.0,0.0,0.0,4.0
64.0,0.0,1.0,5.0
64.0,0.0,2.0,4.0
64.0,0.0,3.0,3.0
65.0,0.0,0.0,10.0
65.0,0.0,1.0,8.0
65.0,0.0,2.0,9.0
65.0,0.0,3.0,4.0
66.0,1.0,0.0,6.0
66.0,1.0,1.0,9.0
66.0,1.0,2.0,8.0
66.0,1.0,3.0,7.0
67.0,0.0,0.0,7.0
67.0,0.0,1.0,9.0
67.0,0.0,2.0,7.0
67.0,0.0,3.0,6.0
68.0,0.0,0.0,3.0
68.0,0.0,1.0,3.0
68.0,0.0,2.0,3.0
68.0,0.0,3.0,
69.0,0.0,0.0,8.0
69.0,0.0,1.0,9.0
69.0,0.0,2.0,10.0
69.0,0.0,3.0,8.0
70.0,1.0,0.0,3.0
70.0,1.0,1.0,3.0
70.0,1.0,2.0,4.0
70.0,1.0,3.0,3.0
71.0,1.0,0.0,8.0
71.0,1.0,1.0,10.0
71.0,1.0,2.0,7.0
71.0,1.0,3.0,5.0
72.0,1.0,0.0,10.0
72.0,1.0,1.0,7.0
72.0,1.0,2.0,5.0
72.0,1.0,3.0,3.0
73.0,0.0,0.0,10.0
73.0,0.0,1.0,10.0
73.0,0.0,2.0,9.0
73.0,0.0,3.0,6.0
74.0,0.0,0.0,5.0
74.0,0.0,1.0,6.0
74.0,0.0,2.0,4.0
74.0,0.0,3.0,1.0
75.0,0.0,0.0,10.0
75.0,0.0,1.0,10.0
75.0,0.0,2.0,6.0
75.0,0.0,3.0,
76.0,0.0,0.0,10.0
76.0,0.0,1.0,9.0
76.0,0.0,2.0,7.0
76.0,0.0,3.0,7.0
77.0,0.0,0.0,5.0
77.0,0.0,1.0,7.0
77.0,0.0,2.0,4.0
77.0,0.0,3.0,2.0
78.0,0.0,0.0,3.0
78.0,0.0,1.0,5.0
78.0,0.0,2.0,3.0
78.0,0.0,3.0,
79.0,1.0,0.0,10.0
79.0,1.0,1.0,9.0
79.0,1.0,2.0,8.0
79.0,1.0,3.0,
80.0,0.0,0.0,5.0
80.0,0.0,1.0,10.0
80.0,0.0,2.0,6.0
80.0,0.0,3.0,5.0
81.0,0.0,0.0,5.0
81.0,0.0,1.0,6.0
81.0,0.0,2.0,9.0
81.0,0.0,3.0,4.0
82.0,0.0,0.0,9.0
82.0,0.0,1.0,6.0
82.0,0.0,2.0,7.0
82.0,0.0,3.0,4.0
83.0,1.0,0.0,5.0
83.0,1.0,1.0,5.0
83.0,1.0,2.0,4.0
83.0,1.0,3.0,1.0
84.0,1.0,0.0,8.0
84.0,1.0,1.0,6.0
84.0,1.0,2.0,2.0
84.0,1.0,3.0,2.0
85.0,1.0,0.0,10.0
85.0,1.0,1.0,9.0
85.0,1.0,2.0,6.0
85.0,1.0,3.0,
86.0,1.0,0.0,7.0
86.0,1.0,1.0,7.0
86.0,1.0,2.0,6.0
86.0,1.0,3.0,3.0
87.0,0.0,0.0,8.0
87.0,0.0,1.0,7.0
87.0,0.0,2.0,9.0
87.0,0.0,3.0,4.0
88.0,0.0,0.0,10.0
88.0,0.0,1.0,9.0
88.0,0.0,2.0,7.0
88.0,0.0,3.0,7.0
89.0,0.0,0.0,7.0
89.0,0.0,1.0,6.0
89.0,0.0,2.0,6.0
89.0,0.0,3.0,3.0
90.0,1.0,0.0,5.0
90.0,1.0,1.0,4.0
90.0,1.0,2.0,4.0
90.0,1.0,3.0,2.0
91.0,1.0,0.0,10.0
91.0,1.0,1.0,8.0
91.0,1.0,2.0,9.0
91.0,1.0,3.0,5.0
92.0,0.0,0.0,7.0
92.0,0.0,1.0,6.0
92.0,0.0,2.0,7.0
92.0,0.0,3.0,4.0
93.0,0.0,0.0,10.0
93.0,0.0,1.0,7.0
93.0,0.0,2.0,9.0
93.0,0.0,3.0,7.0
94.0,1.0,0.0,10.0
94.0,1.0,1.0,10.0
94.0,1.0,2.0,8.0
94.0,1.0,3.0,7.0
95.0,1.0,0.0,7.0
95.0,1.0,1.0,9.0
95.0,1.0,2.0,5.0
95.0,1.0,3.0,5.0
96.0,0.0,0.0,3.0
96.0,0.0,1.0,3.0
96.0,0.0,2.0,4.0
96.0,0.0,3.0,8.0
97.0,1.0,0.0,10.0
97.0,1.0,1.0,10.0
97.0,1.0,2.0,5.0
97.0,1.0,3.0,
98.0,0.0,0.0,6.0
98.0,0.0,1.0,7.0
98.0,0.0,2.0,4.0
98.0,0.0,3.0,1.0
99.0,1.0,0.0,6.0
99.0,1.0,1.0,5.0
99.0,1.0,2.0,4.0
99.0,1.0,3.0,
100.0,1.0,0.0,8.0
100.0,1.0,1.0,9.0
100.0,1.0,2.0,7.0
100.0,1.0,3.0,2.0
101.0,0.0,0.0,6.0
101.0,0.0,1.0,8.0
101.0,0.0,2.0,9.0
101.0,0.0,3.0,3.0
102.0,1.0,0.0,7.0
102.0,1.0,1.0,8.0
102.0,1.0,2.0,5.0
102.0,1.0,3.0,
103.0,1.0,0.0,9.0
103.0,1.0,1.0,8.0
103.0,1.0,2.0,7.0
103.0,1.0,3.0,6.0
104.0,1.0,0.0,7.0
104.0,1.0,1.0,8.0
104.0,1.0,2.0,4.0
104.0,1.0,3.0,3.0
105.0,0.0,0.0,10.0
105.0,0.0,1.0,10.0
105.0,0.0,2.0,8.0
105.0,0.0,3.0,4.0
106.0,0.0,0.0,10.0
106.0,0.0,1.0,4.0
106.0,0.0,2.0,2.0
106.0,0.0,3.0,
107.0,1.0,0.0,8.0
107.0,1.0,1.0,8.0
107.0,1.0,2.0,4.0
107.0,1.0,3.0,5.0
108.0,1.0,0.0,3.0
108.0,1.0,1.0,4.0
108.0,1.0,2.0,4.0
108.0,1.0,3.0,3.0
109.0,0.0,0.0,7.0
109.0,0.0,1.0,6.0
109.0,0.0,2.0,6.0
109.0,0.0,3.0,3.0
110.0,0.0,0.0,9.0
110.0,0.0,1.0,7.0
110.0,0.0,2.0,8.0
110.0,0.0,3.0,6.0
111.0,0.0,0.0,7.0
111.0,0.0,1.0,8.0
111.0,0.0,2.0,7.0
111.0,0.0,3.0,8.0
112.0,1.0,0.0,5.0
112.0,1.0,1.0,3.0
112.0,1.0,2.0,4.0
112.0,1.0,3.0,
113.0,0.0,0.0,7.0
113.0,0.0,1.0,4.0
113.0,0.0,2.0,5.0
113.0,0.0,3.0,3.0
114.0,1.0,0.0,3.0
114.0,1.0,1.0,2.0
114.0,1.0,2.0,1.0
114.0,1.0,3.0,
115.0,1.0,0.0,5.0
115.0,1.0,1.0,5.0
115.0,1.0,2.0,3.0
115.0,1.0,3.0,
116.0,1.0,0.0,7.0
116.0,1.0,1.0,9.0
116.0,1.0,2.0,5.0
116.0,1.0,3.0,2.0
117.0,1.0,0.0,7.0
117.0,1.0,1.0,6.0
117.0,1.0,2.0,6.0
117.0,1.0,3.0,4.0
118.0,1.0,0.0,3.0
118.0,1.0,1.0,4.0
118.0,1.0,2.0,4.0
118.0,1.0,3.0,1.0
119.0,1.0,0.0,8.0
119.0,1.0,1.0,4.0
119.0,1.0,2.0,2.0
119.0,1.0,3.0,1.0
120.0,1.0,0.0,3.0
120.0,1.0,1.0,6.0
120.0,1.0,2.0,1.0
120.0,1.0,3.0,7.0
121.0,1.0,0.0,6.0
121.0,1.0,1.0,6.0
121.0,1.0,2.0,6.0
121.0,1.0,3.0,7.0
122.0,1.0,0.0,5.0
122.0,1.0,1.0,10.0
122.0,1.0,2.0,2.0
122.0,1.0,3.0,
123.0,0.0,0.0,5.0
123.0,0.0,1.0,6.0
123.0,0.0,2.0,2.0
123.0,0.0,3.0,1.0
