Person,Sons,Daughters
Emmylou Harris,0.0,2.0
Enrique Iglesias,0.0,0.0
Erykah Badu,1.0,1.0
Evan Bayh,,
Faith Hill,0.0,3.0
Fran Drescher,0.0,0.0
"Freddie Prinze, Jr.",0.0,0.0
Frederic Fekkai,0.0,0.0
Gail O'Grady,1.0,0.0
Galen Gering,1.0,0.0
Garrett Wang,,
Gavin Rossdale,1.0,1.0
Gena Rowlands,1.0,2.0
George Clooney,0.0,0.0
Geri Halliwell,0.0,1.0
Gillian Anderson,1.0,1.0
Gloria Reuben,,
Gloria Steinem,0.0,0.0
Gloria Stuart,0.0,1.0
Goran Visnjic,0.0,0.0
Grant Hill,0.0,0.0
Gwen Stefani,1.0,0.0
Gwyneth Paltrow,1.0,1.0
Halle Berry,0.0,0.0
Harrison Ford,3.0,1.0
Heather Graham,0.0,0.0
Helen Hunt,0.0,1.0
Henry Simmons,0.0,0.0
Hilary Swank,0.0,0.0
Howie Long,3.0,0.0
Hunter Tylo,2.0,2.0
Ilia Kulik,0.0,2.0
Iman,0.0,1.0
Irene Bedard,,
Jacinda Barrett,0.0,0.0
Jack Hanna,0.0,3.0
Jaclyn Smith,1.0,1.0
James Van Der Beek,0.0,0.0
Jan-Michael Gambill,0.0,0.0
Jared Leto,0.0,0.0
Jason Frank,2.0,2.0
Jason London,0.0,1.0
Jeannine Pirro,1.0,1.0
Jeff Buckley,0.0,0.0
Jeff Gordon,0.0,1.0
Jenna Elfman,1.0,0.0
Jennifer Aniston,0.0,0.0
Jennifer Lopez,0.0,0.0
Jenny McCarthy,1.0,0.0
Jeremy London,0.0,1.0
Jessica Biel,0.0,0.0
Jim Carrey,0.0,1.0
Jimmy Smits,1.0,1.0
"John F. Kennedy, Jr.",0.0,0.0
John Grisham,1.0,1.0
John Walsh,3.0,1.0
Johnny Depp,1.0,1.0
Jon Bon Jovi,3.0,1.0
Jon Frankel,1.0,1.0
Jon Stewart,1.0,1.0
Jonathan Jackson,1.0,1.0
Joseph Fiennes,0.0,0.0
Josh Brolin,1.0,1.0
Joshua Bell,0.0,0.0
Josie Bissett,1.0,1.0
Jude Law,2.0,1.0
Julia Louis-Dreyfus,2.0,0.0
Julia Ormond,0.0,1.0
Julia Roberts,2.0,1.0
Julianna Margulies,0.0,0.0
Julianne Moore,1.0,1.0
Julie Delpy,0.0,0.0
Juliette Binoche,1.0,1.0
Kamar De Los Reyes,1.0,0.0
Kate Dillon,0.0,0.0
Kate Hudson,1.0,0.0
Kate Winslet,1.0,1.0
Keanu Reeves,0.0,0.0
Keith Hamilton Cobb,0.0,0.0
Kent Ferguson,0.0,0.0
Kent Steffes,,
Keri Russell,1.0,0.0
Kirsten Dunst,0.0,0.0
Kirsty Hume,0.0,0.0
Kristin Scott Thomas,2.0,1.0
Laird Hamilton,0.0,2.0
Laura Leighton,1.0,1.0
Lauren Bacall,2.0,1.0
Lauren Holly,0.0,0.0
Lauryn Hill,3.0,1.0
Lela Rochon,1.0,1.0
Leonardo Dicaprio,0.0,0.0
Lisa Kudrow,1.0,0.0
Liv Tyler,1.0,0.0
Lonette McKee,0.0,0.0
Lori Singer,1.0,0.0
Lu Chen,0.0,0.0
Lucy Lawless,2.0,1.0
Lucy Liu,0.0,0.0
Malia Jones,,
Marie-Chantal of Greece,3.0,1.0
Martha Stewart,0.0,1.0
Matt Damon,0.0,0.0
Matt Lauer,2.0,1.0
Matt LeBlanc,0.0,1.0
Matthew McConaughey,0.0,0.0
Matthew Perry,0.0,0.0
Matthey Fox,1.0,1.0
Mel Gibson,1.0,6.0
Melanie Brown,0.0,2.0
Melanie Chisholm,0.0,0.0
Melina Kanakaredes,0.0,2.0
Meredith Vieira,2.0,1.0
Mia Hamm,0.0,2.0
Michael Flatley,1.0,0.0
Michael Michele,1.0,0.0
Michelle Kwan,0.0,0.0
Michelle Pfeiffer,1.0,0.0
Michelle Yeoh,0.0,0.0
Ming Tsai,,
Mira Sorvino,1.0,1.0
Monica,1.0,0.0
Navia Nguyen,0.0,0.0
Neve Campbell,0.0,0.0
Nia Long,1.0,0.0
Nick Carter,0.0,0.0
Nicole Kidman,0.0,0.0
Olivia Newton-John,0.0,1.0
Oprah Winfrey,0.0,0.0
Oscar De La Hoya,0.0,1.0
Paolo Montalban,0.0,0.0
Patie Maes,,
Patrick Muldoon,0.0,0.0
Patrick Stewart,1.0,1.0
Patty Cabrera,,
Paul Sereno,,
Penelope Cruz,0.0,0.0
Pierce Brosnan,3.0,0.0
Prince William,0.0,0.0
Queen Latifah,0.0,0.0
Queen Rania (Jordan),2.0,2.0
Queen Silvia (Sweden),1.0,2.0
Quincy Jones,1.0,7.0
Rebecca Romijn,0.0,0.0
Rick Schroder,2.0,2.0
Ricky Martin,0.0,0.0
Rob Lowe,2.0,0.0
Rob Thomas,1.0,0.0
Roma Downey,0.0,1.0
Rozonda 'Chilli' Thomas,1.0,0.0
Rupert Everett,0.0,0.0
Russell Wong,0.0,1.0
Salma Hayek,0.0,0.0
Sandra Bullock,0.0,0.0
Sandy Dalal,,
Sarah Michelle Gellar,0.0,0.0
Scott Erickson,0.0,0.0
Scott Wolf,0.0,0.0
Shania Twain,1.0,0.0
Shannon Sturges,2.0,0.0
Soledad O'Brien,2.0,2.0
Stephan Jenkins,0.0,0.0
Steve Largent,3.0,1.0
Steve Young,2.0,1.0
Stevie Nicks,0.0,0.0
Susan Sarandon,2.0,1.0
Taye Diggs,0.0,0.0
T-Boz,0.0,1.0
Tim Daly,1.0,1.0
Tina Turner,4.0,0.0
Toland Grinnell,,
Tom Brokaw,0.0,3.0
Tom Cruise,0.0,1.0
Tom Ford,0.0,0.0
Tom Selleck,0.0,1.0
Toni Braxton,2.0,0.0
Tony Blair,3.0,1.0
Tori Amos,0.0,1.0
Tracy Pollan,1.0,3.0
Trip Hawkins,1.0,2.0
Troy Garity,0.0,0.0
Tyra Banks,0.0,0.0
Tyson Beckford,0.0,0.0
Vanessa Marcil,1.0,0.0
Vanessa-Mae Nicholson,0.0,0.0
Victoria Adams,3.0,0.0
Vincent Perez,1.0,2.0
Vivica A. Fox,0.0,0.0
Vivienne Tam,,
Will Smith,2.0,1.0
Winona Ryder,0.0,0.0
Yasmine Bleeth,0.0,0.0
