Adverts,Sales,Airplay,Image
799.899,210.0,28.0,7.0
1071.752,240.0,37.0,8.0
893.355,210.0,26.0,6.0
283.161,200.0,30.0,8.0
917.017,140.0,10.0,7.0
234.568,90.0,21.0,7.0
456.897,120.0,18.0,9.0
206.973,100.0,14.0,7.0
1294.099,360.0,38.0,7.0
826.859,180.0,36.0,6.0
564.158,150.0,32.0,7.0
192.607,110.0,9.0,5.0
10.652,90.0,39.0,5.0
45.689,160.0,24.0,7.0
42.568,230.0,45.0,7.0
20.456,40.0,13.0,8.0
635.192,60.0,17.0,6.0
1002.273,230.0,32.0,7.0
1177.047,230.0,23.0,6.0
507.638,120.0,0.0,6.0
215.689,150.0,35.0,5.0
526.48,120.0,26.0,6.0
26.895,60.0,19.0,6.0
883.877,280.0,26.0,7.0
9.104,120.0,53.0,8.0
103.568,230.0,29.0,8.0
169.583,230.0,28.0,7.0
429.504,40.0,17.0,6.0
223.639,140.0,26.0,8.0
145.585,360.0,42.0,8.0
985.968,210.0,17.0,6.0
500.922,260.0,36.0,8.0
226.652,250.0,45.0,7.0
1051.168,200.0,20.0,7.0
68.093,150.0,15.0,7.0
1547.159,250.0,28.0,8.0
393.774,100.0,27.0,6.0
804.282,260.0,17.0,8.0
801.577,210.0,32.0,8.0
450.562,290.0,46.0,9.0
26.598,220.0,47.0,8.0
179.061,70.0,19.0,1.0
345.687,110.0,22.0,8.0
295.84,250.0,55.0,9.0
2271.86,320.0,31.0,5.0
1134.575,300.0,39.0,8.0
601.434,180.0,21.0,6.0
45.298,180.0,36.0,6.0
759.518,200.0,21.0,7.0
832.869,320.0,44.0,7.0
56.894,140.0,27.0,7.0
709.399,100.0,16.0,6.0
56.895,120.0,33.0,6.0
767.134,230.0,33.0,8.0
503.172,150.0,21.0,7.0
700.929,250.0,35.0,9.0
910.851,190.0,26.0,7.0
888.569,240.0,14.0,6.0
800.615,250.0,34.0,6.0
1500.0,230.0,11.0,8.0
785.694,110.0,20.0,9.0
