TICKNUMB,MUSIC,DAY1,DAY2,DAY3,CHANGE
2828.0,3.0,2.7,1.7,1.91,-0.7900000000000003
2829.0,3.0,1.61,,,
2830.0,2.0,2.29,,,
2831.0,4.0,0.97,1.06,0.76,-0.20999999999999996
2839.0,4.0,1.85,,,
2842.0,2.0,2.76,,,
2857.0,2.0,1.64,,,
2858.0,4.0,1.17,,,
2859.0,4.0,1.57,,,
2862.0,3.0,2.23,,,
2863.0,4.0,2.05,1.58,2.15,0.10000000000000009
2875.0,2.0,2.05,,,
2876.0,2.0,2.94,,,
2883.0,1.0,2.39,,,
2890.0,4.0,1.94,,,
2894.0,3.0,2.12,,,
2895.0,4.0,1.11,,,
2897.0,4.0,0.97,,,
2898.0,1.0,1.35,,,
2899.0,4.0,2.81,2.08,,
2900.0,3.0,2.5,,,
2901.0,3.0,1.87,,,
2920.0,4.0,1.33,,,
2921.0,1.0,1.26,,,
2922.0,4.0,1.44,,,
2923.0,4.0,0.55,,,
2924.0,4.0,1.75,,,
2925.0,2.0,2.08,,,
2932.0,2.0,0.85,,,
2933.0,4.0,2.52,,,
2935.0,3.0,3.0,,,
2936.0,4.0,1.41,,,
2937.0,4.0,1.08,,,
2938.0,4.0,1.2,1.38,1.5,0.30000000000000004
2940.0,3.0,1.94,1.44,,
2941.0,4.0,2.26,1.73,1.73,-0.5299999999999998
2942.0,1.0,1.41,,,
2948.0,1.0,2.5,,,
2952.0,2.0,2.17,,,
2953.0,4.0,1.82,1.11,,
2954.0,3.0,1.44,1.14,,
2956.0,3.0,1.66,,,
2957.0,2.0,1.82,,,
2958.0,2.0,1.26,,,
2959.0,3.0,2.67,,,
2961.0,4.0,1.47,,,
2962.0,2.0,1.84,,,
2964.0,2.0,2.58,,,
2966.0,1.0,1.73,,,
2967.0,2.0,1.23,,,
2968.0,4.0,2.32,,,
2972.0,2.0,2.67,,,
2974.0,2.0,1.02,,,
2975.0,4.0,1.66,2.12,2.7,1.0400000000000003
2976.0,2.0,1.88,,,
2977.0,4.0,1.91,,,
2978.0,1.0,1.64,,,
2979.0,4.0,1.34,,,
2982.0,4.0,1.85,,,
2983.0,1.0,2.08,,,
2984.0,4.0,1.02,,,
2985.0,2.0,1.79,,,
2988.0,3.0,1.94,,,
2989.0,1.0,3.26,1.97,1.67,-1.5899999999999999
2990.0,4.0,1.14,0.58,0.11,-1.0299999999999998
3008.0,4.0,1.5,0.7,0.38,-1.12
3009.0,1.0,2.03,,,
3010.0,3.0,2.24,,,
3013.0,4.0,1.11,,,
3014.0,3.0,2.21,,,
3016.0,2.0,1.94,,,
3017.0,2.0,2.41,,,
3018.0,4.0,0.88,,,
3019.0,3.0,1.17,1.35,,
3027.0,2.0,2.23,,,
3028.0,3.0,1.64,,,
3029.0,3.0,2.14,,,
3030.0,4.0,0.11,0.29,,
3031.0,1.0,2.17,,,
3032.0,3.0,1.67,,,
3033.0,3.0,1.0,,,
3034.0,4.0,0.88,,,
3035.0,4.0,2.2,,,
3048.0,2.0,2.17,,,
3049.0,3.0,2.32,,,
3051.0,3.0,1.64,,,
3052.0,3.0,3.0,,,
3053.0,3.0,2.38,0.85,,
3054.0,1.0,1.6,1.02,,
3055.0,2.0,1.58,,,
3056.0,1.0,2.61,,,
3057.0,4.0,1.44,0.05,0.2,-1.24
3064.0,4.0,1.57,,,
3065.0,4.0,2.32,,,
3068.0,2.0,1.14,,,
3069.0,3.0,1.93,,,
3070.0,3.0,2.47,,,
3072.0,3.0,2.29,,,
3073.0,4.0,1.0,,,
3092.0,2.0,1.58,,,
3093.0,2.0,2.44,,,
3094.0,2.0,0.83,,,
3095.0,4.0,2.71,0.78,0.33,-2.38
3096.0,1.0,1.73,,,
3097.0,1.0,1.58,,,
3098.0,4.0,1.5,,,
3100.0,3.0,1.05,,,
3106.0,4.0,2.05,,,
3107.0,3.0,2.63,,,
3109.0,1.0,2.55,2.29,,
3111.0,2.0,2.0,,,
3112.0,4.0,2.0,,,
3114.0,1.0,1.32,,,
3116.0,3.0,3.14,,,
3118.0,2.0,1.44,,,
3129.0,4.0,1.85,0.23,,
3131.0,3.0,1.41,0.44,,
3132.0,4.0,1.94,,,
3133.0,3.0,2.91,,,
3135.0,4.0,1.85,,,
3136.0,2.0,1.7,,,
3137.0,2.0,2.23,,,
3138.0,3.0,1.11,,,
3139.0,3.0,1.47,,,
3146.0,2.0,2.2,,,
3147.0,4.0,1.82,,,
3148.0,4.0,1.42,,,
3168.0,1.0,2.44,,,
3171.0,4.0,2.66,,,
3172.0,4.0,1.52,,,
3173.0,4.0,1.35,0.47,0.73,-0.6200000000000001
3180.0,4.0,1.29,,,
3182.0,4.0,2.32,,,
3190.0,3.0,0.78,,,
3192.0,3.0,2.84,,,
3202.0,4.0,0.97,,,
3236.0,3.0,1.52,,,
3245.0,3.0,1.7,,,
3246.0,4.0,0.94,1.17,1.29,0.3500000000000001
3247.0,4.0,1.41,,,
3248.0,4.0,1.79,,,
3249.0,4.0,1.08,0.44,0.44,-0.6400000000000001
3250.0,3.0,1.47,,,
3251.0,4.0,1.79,0.47,,
3253.0,1.0,2.0,,,
3254.0,4.0,0.76,,,
3255.0,2.0,2.2,,,
3256.0,2.0,0.94,0.17,,
3257.0,4.0,1.38,,,
3258.0,4.0,1.38,0.85,,
3260.0,2.0,0.32,,,
3261.0,4.0,2.58,,,
3262.0,2.0,0.51,,,
3264.0,4.0,0.32,,,
3267.0,2.0,0.91,1.11,1.7,0.7899999999999999
3273.0,4.0,1.51,,,
3275.0,2.0,1.47,,,
3276.0,3.0,2.5,,,
3277.0,2.0,2.26,,,
3278.0,1.0,2.81,,,
3279.0,3.0,1.87,,,
3281.0,4.0,2.0,,,
3282.0,3.0,2.23,0.41,1.02,-1.21
3284.0,2.0,2.0,0.76,,
3290.0,3.0,1.41,,,
3291.0,2.0,1.64,,,
3292.0,2.0,1.64,,,
3296.0,2.0,1.26,,,
3306.0,3.0,1.52,0.55,1.88,0.3599999999999999
3307.0,3.0,2.44,1.02,0.76,-1.68
3308.0,1.0,2.18,,,
3309.0,4.0,3.02,,,
3310.0,1.0,1.02,,,
3311.0,2.0,2.88,,,
3312.0,2.0,1.54,,,
3313.0,2.0,1.64,,,
3314.0,4.0,2.44,2.5,1.7,-0.74
3315.0,4.0,1.29,,,
3316.0,4.0,1.61,0.32,0.26,-1.35
3321.0,2.0,1.77,,,
3325.0,3.0,0.91,0.17,,
3326.0,4.0,0.85,0.2,0.38,-0.47
3327.0,4.0,0.85,0.52,0.44,-0.41
3328.0,2.0,1.5,,,
3329.0,3.0,1.05,0.23,,
3338.0,4.0,3.38,,,
3340.0,4.0,1.42,0.52,2.0,0.5800000000000001
3341.0,3.0,1.85,,,
3348.0,3.0,1.91,0.84,,
3349.0,4.0,0.82,0.26,,
3350.0,1.0,1.32,0.76,,
3351.0,4.0,2.23,0.85,0.39,-1.8399999999999999
3352.0,4.0,1.47,1.52,0.17,-1.3
3363.0,4.0,2.7,,,
3365.0,2.0,1.58,,,
3366.0,3.0,1.0,,,
3367.0,3.0,1.44,,,
3368.0,1.0,2.0,,,
3369.0,4.0,1.6,,,
3370.0,2.0,2.32,2.53,1.67,-0.6499999999999999
3371.0,1.0,3.41,,,
3372.0,2.0,2.02,,,
3373.0,4.0,0.64,0.52,,
3374.0,3.0,3.58,3.35,,
3375.0,4.0,1.5,,,
3376.0,4.0,1.08,,,
3377.0,1.0,1.52,,,
3378.0,4.0,1.26,,,
3379.0,2.0,1.68,,,
3380.0,4.0,1.47,1.08,0.58,-0.89
3390.0,4.0,1.47,,,
3391.0,4.0,1.67,1.55,,
3392.0,1.0,2.47,1.97,,
3393.0,3.0,1.82,,,
3394.0,2.0,2.17,,,
3395.0,3.0,3.21,,,
3397.0,4.0,1.6,1.38,1.02,-0.5800000000000001
3398.0,4.0,0.32,,,
3407.0,4.0,0.55,,,
3411.0,4.0,1.42,,,
3412.0,4.0,1.14,,,
3413.0,3.0,2.64,,,
3416.0,4.0,2.58,,,
3418.0,2.0,2.02,,,
3419.0,2.0,2.0,,,
3420.0,4.0,2.9,,,
3423.0,1.0,1.82,,,
3429.0,4.0,0.5,,,
3431.0,3.0,1.53,,,
3449.0,4.0,2.48,,,
3450.0,3.0,2.05,,,
3453.0,3.0,2.52,,,
3454.0,2.0,1.88,,,
3455.0,1.0,2.73,,,
3456.0,3.0,2.88,,,
3457.0,4.0,1.67,,,
3458.0,4.0,1.93,,,
3460.0,1.0,1.67,,,
3461.0,4.0,1.2,,,
3464.0,4.0,2.75,,,
3467.0,4.0,1.94,0.97,,
3468.0,4.0,0.59,,,
3469.0,1.0,1.5,,,
3477.0,4.0,1.58,0.94,0.94,-0.6400000000000001
3480.0,1.0,2.23,0.11,0.17,-2.06
3483.0,4.0,2.35,,,
3490.0,4.0,2.55,0.82,0.29,-2.26
3493.0,4.0,1.55,,,
3494.0,2.0,2.31,,,
3495.0,4.0,2.23,,,
3500.0,4.0,0.67,0.5,,
3501.0,1.0,2.51,,,
3503.0,1.0,1.08,0.58,0.61,-0.4700000000000001
3510.0,4.0,2.44,,,
3511.0,4.0,0.23,0.14,,
3512.0,3.0,2.17,,,
3518.0,1.0,1.9,1.17,,
3519.0,4.0,1.67,0.44,,
3521.0,4.0,2.0,0.58,0.52,-1.48
3522.0,4.0,2.44,,,
3523.0,4.0,1.44,,,
3524.0,4.0,0.82,,,
3525.0,2.0,2.5,,,
3526.0,4.0,1.82,,,
3536.0,3.0,1.97,,,
3539.0,3.0,2.52,,,
3540.0,3.0,0.05,,,
3542.0,1.0,2.08,,,
3545.0,3.0,2.39,,,
3546.0,4.0,1.45,0.82,,
3551.0,3.0,2.58,,,
3557.0,4.0,2.12,,,
3565.0,2.0,2.02,0.76,0.55,-1.47
3567.0,4.0,1.78,1.14,0.44,-1.34
3568.0,4.0,0.73,0.17,0.76,0.030000000000000027
3569.0,4.0,2.26,0.9,1.85,-0.4099999999999997
3570.0,2.0,2.79,,,
3571.0,4.0,0.43,0.67,0.14,-0.29
3572.0,4.0,0.52,0.38,0.7,0.17999999999999994
3573.0,4.0,2.32,,,
3574.0,4.0,2.22,,,
3575.0,4.0,0.58,,,
3576.0,1.0,2.0,,,
3577.0,2.0,0.7,,,
3586.0,4.0,1.0,,,
3587.0,4.0,0.3,,,
3588.0,1.0,1.52,,,
3593.0,4.0,1.58,0.35,,
3594.0,3.0,2.34,,,
3595.0,4.0,0.79,,,
3596.0,4.0,2.26,,,
3597.0,1.0,2.35,,,
3598.0,2.0,1.7,,,
3599.0,4.0,3.09,,,
3600.0,2.0,1.52,,,
3601.0,4.0,0.35,,,
3602.0,3.0,2.7,,,
3603.0,2.0,1.64,,,
3605.0,1.0,0.82,,,
3606.0,4.0,2.73,,,
3607.0,4.0,2.23,,,
3609.0,4.0,1.06,,,
3610.0,3.0,2.05,0.2,0.35,-1.6999999999999997
3613.0,1.0,1.73,1.44,,
3614.0,4.0,0.93,0.91,,
3620.0,3.0,2.5,2.44,,
3621.0,3.0,1.44,,,
3622.0,3.0,2.88,,,
3625.0,2.0,0.67,0.23,0.44,-0.23000000000000004
3626.0,4.0,1.85,0.35,,
3627.0,4.0,1.21,0.79,,
3628.0,4.0,1.06,0.76,0.7,-0.3600000000000001
3629.0,4.0,0.61,0.26,0.33,-0.27999999999999997
3631.0,2.0,2.0,,,
3634.0,2.0,1.17,0.73,1.17,0.0
3635.0,4.0,1.48,0.79,1.55,0.07000000000000006
3645.0,4.0,1.55,,,
3646.0,2.0,3.29,,,
3647.0,3.0,1.47,,,
3648.0,4.0,0.96,,,
3649.0,4.0,1.0,1.11,1.2,0.19999999999999996
3652.0,2.0,1.47,,,
3653.0,1.0,2.55,2.38,,
3654.0,4.0,0.44,0.06,,
3655.0,4.0,2.35,2.41,,
3656.0,4.0,1.71,0.85,,
3659.0,4.0,1.84,0.58,0.7,-1.1400000000000001
3660.0,2.0,1.11,0.23,0.55,-0.56
3667.0,4.0,1.38,,,
3669.0,4.0,0.88,,,
3670.0,3.0,0.94,,,
3672.0,3.0,1.91,,,
3676.0,4.0,2.76,,,
3677.0,3.0,1.55,0.32,0.47,-1.08
3678.0,4.0,2.67,,,
3680.0,2.0,1.03,0.29,0.72,-0.31000000000000005
3696.0,3.0,2.5,,,
3697.0,4.0,1.64,,,
3698.0,2.0,2.26,,,
3709.0,3.0,2.14,,,
3710.0,3.0,0.52,,,
3711.0,4.0,1.08,,,
3712.0,4.0,1.69,,,
3713.0,2.0,2.73,,,
3714.0,3.0,1.91,,,
3715.0,4.0,1.73,,,
3716.0,1.0,3.21,,,
3717.0,3.0,2.11,,,
3718.0,4.0,2.05,,,
3719.0,4.0,2.17,,,
3720.0,4.0,2.17,,,
3721.0,2.0,2.3,,,
3722.0,1.0,2.56,,,
3723.0,2.0,2.11,0.41,0.47,-1.64
3724.0,2.0,1.7,,,
3725.0,3.0,1.23,,,
3726.0,3.0,3.2,,,
3727.0,3.0,2.02,,,
3728.0,3.0,2.64,,,
3729.0,3.0,2.52,0.14,,
3730.0,4.0,1.61,,,
3731.0,2.0,1.5,1.2,0.91,-0.59
3734.0,1.0,1.15,0.45,0.44,-0.71
3736.0,3.0,1.82,,,
3753.0,4.0,1.5,,,
3754.0,2.0,2.32,,,
3759.0,4.0,2.92,,,
3764.0,4.0,1.41,,,
3769.0,1.0,1.35,,,
3778.0,3.0,0.61,0.14,,
3779.0,4.0,0.73,,,
3782.0,4.0,2.23,1.88,,
3783.0,4.0,1.32,0.91,,
3784.0,4.0,2.94,1.79,,
3785.0,4.0,1.61,,,
3786.0,4.0,1.0,,,
3787.0,2.0,3.15,3.0,,
3788.0,1.0,2.88,,,
3791.0,2.0,2.09,1.21,,
3792.0,4.0,1.32,1.7,2.29,0.97
3793.0,3.0,1.47,0.35,,
3794.0,2.0,1.61,,,
3796.0,4.0,2.2,1.5,1.88,-0.3200000000000003
3797.0,3.0,2.78,,,
3798.0,4.0,2.06,,,
3799.0,4.0,0.47,,,
3804.0,2.0,2.87,,,
3826.0,2.0,1.14,,,
3828.0,4.0,3.32,3.21,,
3831.0,3.0,2.08,1.38,,
3836.0,2.0,2.38,2.5,,
3837.0,1.0,2.08,,,
3838.0,4.0,1.85,,,
3840.0,2.0,1.38,,,
3844.0,2.0,1.14,,,
3846.0,3.0,1.58,,,
3849.0,2.0,1.23,0.7,1.02,-0.20999999999999996
3850.0,1.0,2.53,,,
3851.0,4.0,0.67,,,
3854.0,3.0,0.73,,,
3855.0,4.0,1.34,,,
3856.0,4.0,2.14,0.7,,
3857.0,4.0,1.0,,,
3858.0,4.0,1.35,,,
3859.0,3.0,1.94,0.79,,
3860.0,1.0,0.5,,,
3869.0,1.0,3.08,,,
3870.0,4.0,2.88,,,
3871.0,4.0,1.91,,,
3872.0,4.0,1.41,,,
3873.0,3.0,2.02,,,
3874.0,4.0,0.76,,,
3875.0,2.0,1.94,,,
3876.0,4.0,0.67,0.28,,
3879.0,3.0,2.41,,,
3880.0,2.0,2.17,,,
3882.0,2.0,2.67,0.41,,
3883.0,3.0,1.94,0.64,,
3888.0,2.0,2.05,0.85,1.7,-0.34999999999999987
3890.0,2.0,2.17,,,
3909.0,4.0,0.47,,,
3912.0,4.0,0.62,0.76,,
3913.0,3.0,2.0,,,
3914.0,4.0,0.45,,,
3916.0,1.0,2.29,0.91,1.38,-0.9100000000000001
3917.0,1.0,2.55,,,
3918.0,2.0,0.82,,,
3919.0,4.0,3.12,2.2,,
3920.0,3.0,2.5,2.23,0.41,-2.09
3921.0,1.0,1.79,,,
3922.0,4.0,2.28,,,
3923.0,4.0,0.58,1.05,0.58,0.0
3924.0,2.0,2.5,1.29,,
3925.0,1.0,1.41,,,
3926.0,2.0,2.14,,,
3927.0,4.0,0.76,0.26,,
3929.0,2.0,1.79,1.11,,
3930.0,4.0,1.02,0.35,,
3932.0,2.0,2.62,,,
3942.0,3.0,0.88,,,
3944.0,4.0,1.58,0.2,0.2,-1.3800000000000001
3945.0,4.0,2.2,,,
3946.0,3.0,1.14,,,
3947.0,2.0,1.47,0.52,0.35,-1.12
3948.0,2.0,1.41,0.23,0.38,-1.0299999999999998
3949.0,4.0,1.44,1.76,1.18,-0.26
3950.0,2.0,1.23,1.17,,
3951.0,4.0,1.82,,,
3952.0,4.0,2.44,,,
3954.0,2.0,1.94,1.2,,
3955.0,2.0,2.41,,,
3964.0,3.0,2.27,,,
3965.0,4.0,1.79,0.23,,
3966.0,2.0,1.88,,,
3972.0,3.0,1.85,0.64,1.32,-0.53
3973.0,1.0,2.21,,,
3986.0,4.0,1.97,1.94,,
3987.0,3.0,2.51,,,
3988.0,2.0,2.05,,,
3989.0,2.0,1.29,1.0,0.82,-0.4700000000000001
3990.0,1.0,2.05,,,
3991.0,4.0,2.23,,,
3992.0,4.0,1.76,,,
3993.0,4.0,1.05,,,
3994.0,3.0,1.79,,,
3995.0,2.0,1.02,0.73,0.47,-0.55
3996.0,3.0,2.76,1.58,,
3997.0,3.0,1.67,0.55,,
4010.0,3.0,2.85,,,
4011.0,2.0,0.23,0.84,,
4012.0,4.0,1.9,,,
4013.0,4.0,1.23,0.52,,
4014.0,1.0,1.97,,,
4015.0,2.0,1.5,,,
4016.0,4.0,3.69,,,
4017.0,4.0,0.5,,,
4022.0,1.0,2.18,,,
4023.0,4.0,2.17,,,
4024.0,4.0,1.58,,,
4025.0,3.0,2.88,,,
4030.0,2.0,2.52,,,
4032.0,2.0,2.2,,,
4033.0,2.0,1.73,,,
4034.0,4.0,2.23,,,
4079.0,1.0,1.97,,,
4089.0,4.0,1.2,0.67,0.91,-0.2899999999999999
4090.0,1.0,2.0,,,
4092.0,2.0,1.91,,,
4093.0,1.0,0.81,,,
4095.0,4.0,1.31,,,
4096.0,4.0,0.38,,,
4101.0,1.0,1.97,,,
4104.0,3.0,0.38,,,
4105.0,3.0,2.11,0.76,0.85,-1.2599999999999998
4106.0,2.0,3.2,,,
4107.0,4.0,0.02,,,
4109.0,4.0,2.56,,,
4110.0,1.0,2.02,,,
4111.0,3.0,2.3,,,
4114.0,3.0,2.02,,,
4147.0,2.0,2.05,,,
4148.0,3.0,1.7,,,
4149.0,3.0,1.61,,,
4150.0,3.0,0.73,,,
4151.0,2.0,2.5,1.64,,
4152.0,2.0,2.18,1.75,1.91,-0.27000000000000024
4153.0,1.0,2.46,1.08,1.91,-0.55
4154.0,2.0,1.5,0.91,,
4155.0,4.0,1.73,0.94,,
4156.0,1.0,1.44,,,
4157.0,1.0,1.64,0.32,0.52,-1.1199999999999999
4158.0,4.0,2.02,2.44,,
4159.0,4.0,1.2,0.17,0.2,-1.0
4160.0,4.0,0.38,0.02,,
4161.0,3.0,1.58,1.54,1.76,0.17999999999999994
4162.0,3.0,1.67,0.5,,
4163.0,3.0,1.0,0.48,,
4164.0,4.0,2.58,1.35,,
4165.0,2.0,2.82,2.61,3.02,0.20000000000000018
4166.0,2.0,2.29,2.05,,
4167.0,3.0,1.14,,,
4168.0,3.0,1.64,0.76,,
4171.0,3.0,1.82,0.08,,
4172.0,3.0,3.32,2.91,3.02,-0.2999999999999998
4193.0,4.0,3.32,,,
4194.0,3.0,1.85,1.0,1.5,-0.3500000000000001
4195.0,1.0,2.29,,,
4196.0,3.0,1.47,0.47,1.58,0.1100000000000001
4197.0,2.0,2.08,0.7,0.67,-1.4100000000000001
4198.0,3.0,2.2,,,
4199.0,2.0,1.06,1.45,,
4216.0,2.0,0.97,0.14,0.02,-0.95
4218.0,3.0,2.0,,,
4219.0,2.0,1.67,0.38,,
4220.0,3.0,2.94,,,
4221.0,4.0,1.55,,,
4222.0,2.0,0.88,0.26,,
4223.0,2.0,1.35,2.32,,
4224.0,3.0,0.61,0.2,0.17,-0.43999999999999995
4225.0,3.0,1.0,,,
4226.0,4.0,1.52,2.72,0.52,-1.0
4234.0,4.0,1.0,,,
4235.0,4.0,1.76,0.41,0.88,-0.88
4236.0,4.0,2.52,,,
4237.0,3.0,2.0,0.88,1.44,-0.56
4238.0,4.0,2.63,,,
4239.0,3.0,0.73,0.85,,
4240.0,2.0,1.58,0.23,1.66,0.07999999999999985
4241.0,4.0,0.58,,,
4245.0,4.0,1.67,,,
4247.0,4.0,1.47,,,
4249.0,4.0,1.81,,,
4256.0,3.0,1.91,,,
4257.0,4.0,1.06,,,
4259.0,4.0,1.47,1.23,0.94,-0.53
4262.0,3.0,2.52,,,
4263.0,2.0,1.85,0.2,,
4264.0,3.0,3.44,,,
4265.0,2.0,1.55,1.32,1.19,-0.3600000000000001
4266.0,2.0,2.29,2.7,,
4267.0,2.0,1.76,,,
4268.0,4.0,1.9,,,
4269.0,4.0,2.52,2.55,,
4271.0,3.0,2.52,,,
4274.0,3.0,2.82,0.17,,
4281.0,3.0,2.02,,,
4284.0,2.0,1.29,,,
4285.0,4.0,1.26,,,
4287.0,2.0,0.94,,,
4291.0,1.0,2.0,1.13,0.53,-1.47
4292.0,4.0,0.73,,,
4294.0,3.0,2.26,0.79,,
4295.0,3.0,2.23,,,
4297.0,3.0,2.35,,,
4298.0,4.0,0.55,0.38,,
4301.0,4.0,1.85,,,
4302.0,3.0,0.67,,,
4305.0,3.0,1.85,1.0,,
4306.0,3.0,1.23,0.2,,
4308.0,4.0,2.35,,,
4309.0,3.0,1.35,,,
4310.0,4.0,1.94,,,
4311.0,4.0,1.55,,,
4312.0,3.0,1.29,,,
4313.0,1.0,2.17,,,
4314.0,2.0,1.91,,,
4333.0,1.0,2.88,,,
4334.0,4.0,2.36,,,
4335.0,1.0,2.36,,,
4336.0,4.0,2.2,,,
4349.0,3.0,2.17,0.47,0.38,-1.79
4351.0,3.0,0.52,,,
4352.0,3.0,0.32,,,
4353.0,2.0,1.52,0.55,,
4354.0,3.0,2.0,0.94,0.08,-1.92
4355.0,2.0,1.32,1.02,1.2,-0.1200000000000001
4356.0,1.0,2.05,,,
4357.0,3.0,1.73,,,
4358.0,4.0,1.94,,,
4359.0,2.0,1.81,,,
4360.0,1.0,0.9,0.64,,
4361.0,4.0,1.58,0.67,,
4363.0,2.0,2.29,1.87,0.91,-1.38
4366.0,4.0,2.57,,,
4370.0,4.0,1.58,,,
4382.0,3.0,2.33,0.82,,
4383.0,3.0,3.15,,,
4384.0,1.0,2.29,,,
4385.0,3.0,0.82,,,
4386.0,3.0,1.93,,,
4387.0,4.0,1.82,,,
4388.0,4.0,1.96,,,
4389.0,4.0,1.32,0.64,0.47,-0.8500000000000001
4391.0,4.0,1.02,,,
4392.0,4.0,1.14,,,
4393.0,2.0,2.32,,,
4394.0,2.0,2.16,,,
4396.0,4.0,2.42,1.7,,
4397.0,4.0,1.14,,,
4398.0,1.0,1.55,0.79,1.76,0.20999999999999996
4404.0,1.0,1.17,,,
4405.0,4.0,1.0,0.58,0.32,-0.6799999999999999
4410.0,3.0,1.05,0.11,,
4419.0,4.0,1.38,,,
4428.0,4.0,1.93,2.42,,
4430.0,2.0,2.73,,,
4435.0,4.0,2.02,,,
4436.0,1.0,2.81,,,
4437.0,4.0,2.47,,,
4439.0,2.0,1.35,,,
4440.0,3.0,2.08,,,
4441.0,3.0,2.5,,,
4442.0,1.0,2.45,,,
4443.0,2.0,2.17,,,
4444.0,4.0,1.7,0.0,,
4445.0,4.0,0.7,0.23,0.45,-0.24999999999999994
4446.0,1.0,1.51,,,
4447.0,2.0,1.23,,,
4448.0,2.0,2.14,0.85,,
4452.0,4.0,1.14,1.14,,
4453.0,2.0,0.96,,,
4454.0,4.0,1.52,1.14,1.26,-0.26
4455.0,4.0,0.52,,,
4456.0,2.0,1.56,,,
4459.0,4.0,3.29,0.26,,
4464.0,4.0,0.45,,,
4467.0,2.0,2.63,,,
4468.0,3.0,1.7,,,
4470.0,2.0,3.11,,,
4479.0,3.0,1.82,,,
4481.0,1.0,1.58,0.14,,
4482.0,4.0,2.73,,,
4485.0,4.0,1.5,1.14,,
4486.0,4.0,1.78,1.02,,
4488.0,4.0,2.02,,,
4507.0,4.0,0.67,0.94,0.91,0.24
4509.0,3.0,1.41,0.55,,
4510.0,2.0,0.9,,,
